subject,index,task,roi,hemisphere,x,y,z
sub-071,1,loc,aIPS,left,-4.650886196643114,-66.36643802374601,31.07182095944881
sub-071,1,loc,aIPS,right,10.16007487475872,-62.515897676348686,33.02335524559021
sub-071,1,loc,pIPS,left,-5.547726195305586,-68.53658539056778,30.374585777521133
sub-071,1,loc,pIPS,right,10.16007487475872,-62.515897676348686,33.02335524559021
sub-071,2,loc,LO,left,-48.15918869897723,-33.53685964643955,4.93288516998291
sub-071,2,loc,LO,right,60.50290095061064,-25.935151644051075,10.742298230528831
sub-071,2,loc,PFS,left,-37.90618536248803,-22.518334716558456,-16.734322100877762
sub-071,2,loc,PFS,right,36.06408284232021,-23.319014325737957,-11.860780715942385
sub-071,2,loc,aIPS,left,-15.897167034447191,-58.066445872187614,28.30936911702156
sub-071,2,loc,aIPS,right,1.5031488463282583,-36.9504259750247,54.94284792244434
sub-071,2,loc,pIPS,left,-5.257735770195723,-69.80685418844223,22.48140397667885
sub-071,2,loc,pIPS,right,9.256450355052948,-66.34162475913763,34.61937306821346
sub-083,0,loc,LO,left,-44.15634787990712,-47.87952803261578,6.222721066558734
sub-083,0,loc,LO,right,40.81594755500555,-50.604107826948166,1.3958968818187714
sub-083,0,loc,PFS,left,-46.12300713500008,-35.93616402707994,0.7010978932958096
sub-083,0,loc,PFS,right,34.97014844510704,-10.761179562658072,-4.878481474239379
sub-083,0,loc,aIPS,left,-19.981428704690188,-39.76943576522172,45.39925326243974
sub-083,0,loc,aIPS,right,21.99252453679219,-50.65180063061416,51.462623407831416
sub-083,0,loc,pIPS,left,-19.981428704690188,-39.76943576522172,45.39925326243974
sub-083,0,loc,pIPS,right,21.99252453679219,-50.65180063061416,51.462623407831416
sub-083,1,loc,LO,left,-44.15172020974569,-47.6020634341985,7.183445777976885
sub-083,1,loc,LO,right,46.87579770642333,-41.68589005246759,7.11810537846759
sub-083,1,loc,PFS,left,-46.12300713500008,-35.93616402707994,0.7010978932958096
sub-083,1,loc,PFS,right,34.97014844510704,-10.761179562658072,-4.878481474239379
sub-083,1,loc,aIPS,left,-19.981428704690188,-39.76943576522172,45.39925326243974
sub-083,1,loc,aIPS,right,25.931736517464746,-56.60380732081831,41.71294386009686
sub-083,1,loc,pIPS,left,-19.981428704690188,-39.76943576522172,45.39925326243974
sub-083,1,loc,pIPS,right,25.931736517464746,-56.60380732081831,41.71294386009686
sub-083,2,loc,LO,left,-44.15172020974569,-47.6020634341985,7.183445777976885
sub-083,2,loc,LO,right,40.81594755500555,-50.604107826948166,1.3958968818187714
sub-083,2,loc,PFS,left,-46.12300713500008,-35.93616402707994,0.7010978932958096
sub-083,2,loc,PFS,right,32.963630276266485,-12.67377133667469,-4.316445296630263
sub-083,2,loc,aIPS,left,-24.053271367913112,-47.884920159354806,35.2721097425092
sub-083,2,loc,aIPS,right,25.93038313090801,-55.92054625414312,40.474738486809656
sub-083,2,loc,pIPS,left,-24.053271367913112,-47.884920159354806,35.2721097425092
sub-083,2,loc,pIPS,right,25.93038313090801,-55.92054625414312,40.474738486809656
sub-084,0,loc,LO,left,-47.67938945069909,-26.857866927981377,35.07851418107748
sub-084,0,loc,LO,right,54.8948361389339,-30.115705221891403,29.432027772068977
sub-084,0,loc,PFS,left,-45.70540006458759,-25.81965833902359,34.91890040040016
sub-084,0,loc,PFS,right,33.06125772744417,-10.471918158233166,31.28003514930606
sub-084,0,loc,aIPS,left,-27.84128281474113,-44.309462033212185,72.93204739317298
sub-084,0,loc,aIPS,right,34.35830643028021,-38.32108492404223,66.65999500826001
sub-084,0,loc,pIPS,left,-27.84128281474113,-44.309462033212185,72.93204739317298
sub-084,0,loc,pIPS,right,48.394227258861065,-42.68900565803051,48.94238620251417
sub-084,1,loc,LO,left,-46.73695743456483,-26.567522458732128,36.09218023344874
sub-084,1,loc,LO,right,56.863345712423325,-24.46150278300047,46.69919089600444
sub-084,1,loc,PFS,left,-45.70540006458759,-25.81965833902359,34.91890040040016
sub-084,1,loc,PFS,right,49.055165365338326,-15.187223605811596,35.51796246692538
sub-084,1,loc,aIPS,left,-28.839474350214005,-44.34535653889179,72.8838584497571
sub-084,1,loc,aIPS,right,31.833549819886684,-54.40038160979748,68.68034064024687
sub-084,1,loc,pIPS,left,-28.839474350214005,-44.34535653889179,72.8838584497571
sub-084,1,loc,pIPS,right,31.833549819886684,-54.40038160979748,68.68034064024687
sub-084,2,loc,LO,left,-46.73695743456483,-26.567522458732128,36.09218023344874
sub-084,2,loc,LO,right,46.69354313239455,-51.29384710639715,28.32529797777533
sub-084,2,loc,PFS,left,-40.8049158975482,-13.128111578524113,27.714053336530924
sub-084,2,loc,PFS,right,53.38248862326145,-16.570345364511013,29.917855586856604
sub-084,2,loc,aIPS,left,-28.87284018471837,-45.05732615292072,74.10532722622156
sub-084,2,loc,aIPS,right,30.891117803752422,-54.690726079046726,67.6666745878756
sub-084,2,loc,pIPS,left,-28.87284018471837,-45.05732615292072,74.10532722622156
sub-084,2,loc,pIPS,right,49.43720616400242,-44.585950307548046,49.50255848094821
sub-085,0,loc,LO,left,-52.665200777351856,-45.27242590487003,-13.838599625974894
sub-085,0,loc,LO,right,42.54175109788776,-25.573219060897827,-23.24769044481218
sub-085,0,loc,PFS,left,-43.49537364020944,-24.10170539841056,-20.52548004500568
sub-085,0,loc,PFS,right,50.20658737793565,-13.327045537531376,-22.717407731339332
sub-085,0,loc,aIPS,left,-24.51557946577668,-46.85199068672955,19.314078422263265
sub-085,0,loc,aIPS,right,38.00775391235948,-56.89485944621265,24.505816215649247
sub-085,0,loc,pIPS,left,-23.62005991116166,-67.21537556499243,-2.354576041921973
sub-085,0,loc,pIPS,right,38.00775391235948,-56.89485944621265,24.505816215649247
sub-085,1,loc,LO,left,-52.665200777351856,-45.27242590487003,-13.838599625974894
sub-085,1,loc,LO,right,40.86321607604623,-41.71434628590941,-27.90027234517038
sub-085,1,loc,PFS,left,-43.49537364020944,-24.10170539841056,-20.52548004500568
sub-085,1,loc,PFS,right,50.236537873744965,-14.32644472271204,-22.69996451959014
sub-085,1,loc,aIPS,left,-24.51557946577668,-46.85199068672955,19.314078422263265
sub-085,1,loc,aIPS,right,38.00775391235948,-56.89485944621265,24.505816215649247
sub-085,1,loc,pIPS,left,-23.62005991116166,-67.21537556499243,-2.354576041921973
sub-085,1,loc,pIPS,right,38.00775391235948,-56.89485944621265,24.505816215649247
sub-085,2,loc,LO,left,-52.665200777351856,-45.27242590487003,-13.838599625974894
sub-085,2,loc,LO,right,42.51180060207844,-24.573819875717163,-23.26513365656137
sub-085,2,loc,PFS,left,-43.49537364020944,-24.10170539841056,-20.52548004500568
sub-085,2,loc,PFS,right,50.236537873744965,-14.32644472271204,-22.69996451959014
sub-085,2,loc,aIPS,left,-19.830774404108524,-53.45431031472981,34.29613061249256
sub-085,2,loc,aIPS,right,35.212150022387505,-51.78359558060765,35.50852181017399
sub-085,2,loc,pIPS,left,-23.62005991116166,-67.21537556499243,-2.354576041921973
sub-085,2,loc,pIPS,right,35.212150022387505,-51.78359558060765,35.50852181017399
sub-087,0,loc,LO,left,-37.10805665142834,-43.59259533509612,7.968732059001923
sub-087,0,loc,LO,right,31.246728977188468,-44.34587375074625,8.214539527893066
sub-087,0,loc,PFS,left,-36.73883028700948,-21.636353995651007,1.055909812450409
sub-087,0,loc,PFS,right,31.14913224428892,-13.780910541303456,-5.23066221177578
sub-087,0,loc,aIPS,left,-31.485681977123026,-34.623112846165895,30.103261053562164
sub-087,0,loc,aIPS,right,12.549294928088784,-55.515324018895626,35.245070815086365
sub-087,0,loc,pIPS,left,-38.09302964434028,-46.094600047916174,17.90703195333481
sub-087,0,loc,pIPS,right,35.72711509466171,-35.54446738399565,21.94266501069069
sub-087,1,loc,LO,left,-50.75601378455758,-29.580838220193986,1.69146266579628
sub-087,1,loc,LO,right,41.20675716176629,-25.321893548592925,6.243221491575241
