ROI_ID,pIPS_value,LO_value,Connectivity,Connection_Type,Color,Difference
90,0.038459696,0.03819592,0.038459696,Dorsal → Ventral,indianred,0.00026377663
171,0.036716472,0.0384335,0.0384335,Ventral → Dorsal,teal,0.0017170273
186,0.032475315,0.03838898,0.03838898,Ventral → Dorsal,teal,0.0059136637
75,0.032292403,0.03818902,0.03818902,Ventral → Dorsal,teal,0.0058966167
153,0.037958663,0.029303554,0.037958663,Dorsal → Ventral,indianred,0.0086551085
91,0.03669505,0.028161453,0.03669505,Dorsal → Ventral,indianred,0.008533595
84,0.033783127,0.020025244,0.033783127,Dorsal → Ventral,indianred,0.013757883
170,0.030642183,0.0331542,0.0331542,Ventral → Dorsal,teal,0.0025120173
195,0.03241496,0.0279285,0.03241496,Dorsal → Ventral,indianred,0.004486462
164,0.03193774,0.02955615,0.03193774,Dorsal → Ventral,indianred,0.0023815911
58,0.026930768,0.03162451,0.03162451,Ventral → Dorsal,teal,0.004693743
160,0.02648901,0.03159072,0.03159072,Ventral → Dorsal,teal,0.0051017087
83,0.030396637,0.030998582,0.030998582,Ventral → Dorsal,teal,0.00060194544
191,0.030859254,0.022556696,0.030859254,Dorsal → Ventral,indianred,0.008302558
85,0.030777253,0.028713446,0.030777253,Dorsal → Ventral,indianred,0.002063807
88,0.02959035,0.013605952,0.02959035,Dorsal → Ventral,indianred,0.015984397
66,0.029106874,0.022070495,0.029106874,Dorsal → Ventral,indianred,0.0070363786
55,0.027026145,0.028141035,0.028141035,Ventral → Dorsal,teal,0.00111489
86,0.027389055,0.018710364,0.027389055,Dorsal → Ventral,indianred,0.008678691
57,0.026825506,0.0249666,0.026825506,Dorsal → Ventral,indianred,0.0018589068
192,0.026685363,0.012625753,0.026685363,Dorsal → Ventral,indianred,0.01405961
152,0.025699407,0.02625613,0.02625613,Ventral → Dorsal,teal,0.0005567223
193,0.025587875,0.01677913,0.025587875,Dorsal → Ventral,indianred,0.008808745
74,0.02245938,0.022969197,0.022969197,Ventral → Dorsal,teal,0.00050981715
89,0.021624343,0.017465603,0.021624343,Dorsal → Ventral,indianred,0.004158741
163,0.020251142,0.02136363,0.02136363,Ventral → Dorsal,teal,0.001112489
194,0.02099085,0.020964669,0.02099085,Dorsal → Ventral,indianred,2.618134e-05
161,0.020984365,0.019035999,0.020984365,Dorsal → Ventral,indianred,0.0019483659
185,0.018046672,0.020597922,0.020597922,Ventral → Dorsal,teal,0.0025512502
59,0.020502407,0.019741833,0.020502407,Dorsal → Ventral,indianred,0.0007605739
162,0.019813444,0.01968322,0.019813444,Dorsal → Ventral,indianred,0.00013022497
56,0.019053698,0.019760225,0.019760225,Ventral → Dorsal,teal,0.0007065274
60,0.014525187,0.018685807,0.018685807,Ventral → Dorsal,teal,0.0041606193
159,0.016408976,0.018584425,0.018584425,Ventral → Dorsal,teal,0.0021754485
