subject,seed_roi,seed_hemi,target_roi,target_hemi,run_combo,value
sub-spaceloc1005,pIPS,right,aIPS,left,1to2,0.017013448034122552
sub-spaceloc1005,pIPS,right,aIPS,left,2to1,0.019120098410978382
sub-spaceloc1005,pIPS,right,aIPS,right,1to2,0.0039008338497681667
sub-spaceloc1005,pIPS,right,aIPS,right,2to1,0.031661149426992025
sub-spaceloc1005,pIPS,right,LO,left,1to2,0.023861439917489572
sub-spaceloc1005,pIPS,right,LO,left,2to1,0.049239152465965406
sub-spaceloc1005,pIPS,right,LO,right,1to2,0.02107661622447075
sub-spaceloc1005,pIPS,right,LO,right,2to1,0.04631497728998676
sub-spaceloc1005,aIPS,left,pIPS,left,1to2,0.044286199938808654
sub-spaceloc1005,aIPS,left,pIPS,left,2to1,0.004051135696401862
sub-spaceloc1005,aIPS,left,pIPS,right,1to2,0.017012530801495555
sub-spaceloc1005,aIPS,left,pIPS,right,2to1,0.019333255028345223
sub-spaceloc1005,aIPS,left,aIPS,right,1to2,0.02976624971158586
sub-spaceloc1005,aIPS,left,aIPS,right,2to1,0.007465994451441713
sub-spaceloc1005,aIPS,left,LO,left,1to2,0.0528259710513016
sub-spaceloc1005,aIPS,left,LO,left,2to1,0.013729865172266978
sub-spaceloc1005,aIPS,left,LO,right,1to2,0.03985829442006466
sub-spaceloc1005,aIPS,left,LO,right,2to1,0.02499618442549271
sub-spaceloc1005,aIPS,right,pIPS,left,1to2,0.004411520267535379
sub-spaceloc1005,aIPS,right,pIPS,left,2to1,0.01404481155246651
sub-spaceloc1005,aIPS,right,pIPS,right,1to2,0.003900703320358752
sub-spaceloc1005,aIPS,right,pIPS,right,2to1,0.03163961433490878
sub-spaceloc1005,aIPS,right,aIPS,left,1to2,0.029772394433620664
sub-spaceloc1005,aIPS,right,aIPS,left,2to1,0.00736476383906754
sub-spaceloc1005,aIPS,right,LO,left,1to2,0.030113323661019677
sub-spaceloc1005,aIPS,right,LO,left,2to1,0.026150747538775027
sub-spaceloc1005,aIPS,right,LO,right,1to2,0.030228073965030966
sub-spaceloc1005,aIPS,right,LO,right,2to1,0.032920011429038165
sub-spaceloc1005,LO,left,pIPS,left,1to2,0.0008754990099820916
sub-spaceloc1005,LO,left,pIPS,left,2to1,0.02418659213137163
sub-spaceloc1005,LO,left,pIPS,right,1to2,0.023869020135689513
sub-spaceloc1005,LO,left,pIPS,right,2to1,0.049227176768521404
sub-spaceloc1005,LO,left,aIPS,left,1to2,0.05283631445524378
sub-spaceloc1005,LO,left,aIPS,left,2to1,0.01345676935950678
sub-spaceloc1005,LO,left,aIPS,right,1to2,0.030127694059550146
sub-spaceloc1005,LO,left,aIPS,right,2to1,0.026195457889418534
sub-spaceloc1005,LO,left,LO,right,1to2,0.03778039071259612
sub-spaceloc1005,LO,left,LO,right,2to1,0.05813688967022902
sub-spaceloc1005,LO,right,pIPS,left,1to2,0.01373844404719093
sub-spaceloc1005,LO,right,pIPS,left,2to1,0.034438208642632404
sub-spaceloc1005,LO,right,pIPS,right,1to2,0.021076336120997845
sub-spaceloc1005,LO,right,pIPS,right,2to1,0.04632034253656986
sub-spaceloc1005,LO,right,aIPS,left,1to2,0.039860099653079434
sub-spaceloc1005,LO,right,aIPS,left,2to1,0.02471520124803422
sub-spaceloc1005,LO,right,aIPS,right,1to2,0.030235646072659304
sub-spaceloc1005,LO,right,aIPS,right,2to1,0.03296919060606885
sub-spaceloc1005,LO,right,LO,left,1to2,0.03777127807188622
sub-spaceloc1005,LO,right,LO,left,2to1,0.058150741078251605
sub-spaceloc1006,pIPS,left,pIPS,right,1to2,-0.009929749808874365
sub-spaceloc1006,pIPS,left,pIPS,right,2to1,0.012059048537908838
sub-spaceloc1006,pIPS,left,aIPS,left,1to2,0.018068173010815956
sub-spaceloc1006,pIPS,left,aIPS,left,2to1,0.0017312405670251683
sub-spaceloc1006,pIPS,left,aIPS,right,1to2,0.015284445155161672
sub-spaceloc1006,pIPS,left,aIPS,right,2to1,0.006030725589479465
sub-spaceloc1006,pIPS,left,LO,left,1to2,0.01365100383665768
sub-spaceloc1006,pIPS,left,LO,left,2to1,0.0009342931039418879
sub-spaceloc1006,pIPS,left,LO,right,1to2,0.019637986962713735
sub-spaceloc1006,pIPS,left,LO,right,2to1,0.011908159032506523
sub-spaceloc1006,pIPS,right,pIPS,left,1to2,-0.009965611777456826
sub-spaceloc1006,pIPS,right,pIPS,left,2to1,0.01200740616731119
sub-spaceloc1006,pIPS,right,aIPS,left,1to2,-0.018114382186399054
sub-spaceloc1006,pIPS,right,aIPS,left,2to1,0.0004221391728643704
sub-spaceloc1006,pIPS,right,aIPS,right,1to2,-0.03399715106787546
sub-spaceloc1006,pIPS,right,aIPS,right,2to1,0.00607631856089105
sub-spaceloc1006,pIPS,right,LO,left,1to2,-0.040309146646466586
sub-spaceloc1006,pIPS,right,LO,left,2to1,-0.008439838086092433
sub-spaceloc1006,pIPS,right,LO,right,1to2,-0.025654739706157868
sub-spaceloc1006,pIPS,right,LO,right,2to1,0.009256891543954154
sub-spaceloc1006,aIPS,left,pIPS,left,1to2,0.01788463010531726
sub-spaceloc1006,aIPS,left,pIPS,left,2to1,0.0018428684619529602
sub-spaceloc1006,aIPS,left,pIPS,right,1to2,-0.018067427862799173
sub-spaceloc1006,aIPS,left,pIPS,right,2to1,0.000421502557693968
sub-spaceloc1006,aIPS,left,aIPS,right,1to2,-0.0018759075828745457
sub-spaceloc1006,aIPS,left,aIPS,right,2to1,0.0007921650281943892
sub-spaceloc1006,aIPS,left,LO,left,1to2,-0.007507688798368805
sub-spaceloc1006,aIPS,left,LO,left,2to1,-0.009500020332826908
sub-spaceloc1006,aIPS,left,LO,right,1to2,0.006017520688193317
sub-spaceloc1006,aIPS,left,LO,right,2to1,0.007661239069520658
sub-spaceloc1006,aIPS,right,pIPS,left,1to2,0.015214237886888008
sub-spaceloc1006,aIPS,right,pIPS,left,2to1,0.006054074526629104
sub-spaceloc1006,aIPS,right,pIPS,right,1to2,-0.03402319770708051
sub-spaceloc1006,aIPS,right,pIPS,right,2to1,0.006071492644439957
sub-spaceloc1006,aIPS,right,aIPS,left,1to2,-0.001910510010621889
sub-spaceloc1006,aIPS,right,aIPS,left,2to1,0.000792646638197393
sub-spaceloc1006,aIPS,right,LO,left,1to2,-0.025474283058000355
sub-spaceloc1006,aIPS,right,LO,left,2to1,-0.014573231138708932
sub-spaceloc1006,aIPS,right,LO,right,1to2,-0.009908274788334764
sub-spaceloc1006,aIPS,right,LO,right,2to1,0.009007581537777186
sub-spaceloc1006,LO,left,pIPS,left,1to2,0.01370083562466443
sub-spaceloc1006,LO,left,pIPS,left,2to1,0.0014031706674131007
sub-spaceloc1006,LO,left,pIPS,right,1to2,-0.040289186490371345
sub-spaceloc1006,LO,left,pIPS,right,2to1,-0.008184291664765754
sub-spaceloc1006,LO,left,aIPS,left,1to2,-0.007526057565958758
sub-spaceloc1006,LO,left,aIPS,left,2to1,-0.009293477083859473
sub-spaceloc1006,LO,left,aIPS,right,1to2,-0.025364002023953492
sub-spaceloc1006,LO,left,aIPS,right,2to1,-0.014525821442932895
sub-spaceloc1006,LO,left,LO,right,1to2,-0.013846816033193623
sub-spaceloc1006,LO,left,LO,right,2to1,0.021333190653341834
sub-spaceloc1006,LO,right,pIPS,left,1to2,0.019514135887902594
sub-spaceloc1006,LO,right,pIPS,left,2to1,0.011976077042311286
sub-spaceloc1006,LO,right,pIPS,right,1to2,-0.02565802348030714
sub-spaceloc1006,LO,right,pIPS,right,2to1,0.009252346671814916
sub-spaceloc1006,LO,right,aIPS,left,1to2,0.006021106465344515
sub-spaceloc1006,LO,right,aIPS,left,2to1,0.00766185105237228
sub-spaceloc1006,LO,right,aIPS,right,1to2,-0.00991148467094861
sub-spaceloc1006,LO,right,aIPS,right,2to1,0.00900458065376126
sub-spaceloc1006,LO,right,LO,left,1to2,-0.014003019841128325
sub-spaceloc1006,LO,right,LO,left,2to1,0.020495942628934498
sub-spaceloc1007,pIPS,left,pIPS,right,1to2,-0.020240325433440745
sub-spaceloc1007,pIPS,left,pIPS,right,2to1,0.04755522849798539
sub-spaceloc1007,pIPS,left,aIPS,left,1to2,-0.0014594938643565556
sub-spaceloc1007,pIPS,left,aIPS,left,2to1,0.027190341198363742
sub-spaceloc1007,pIPS,left,aIPS,right,1to2,-0.01654268646692949
sub-spaceloc1007,pIPS,left,aIPS,right,2to1,0.04145491698972753
sub-spaceloc1007,pIPS,left,LO,left,1to2,-0.005599906115812275
sub-spaceloc1007,pIPS,left,LO,left,2to1,0.028400741212375458
sub-spaceloc1007,pIPS,left,LO,right,1to2,-0.004623249018779456
sub-spaceloc1007,pIPS,left,LO,right,2to1,0.037648747773766214
sub-spaceloc1007,pIPS,right,pIPS,left,1to2,-0.019252945393746244
