index,task,roi,hemisphere,x,y,z,subject
1,loc,V1,right,19.496275460095788,-68.77683199788758,-14.078205722384368,sub-096
2,loc,V1,left,-9.986264264893208,-68.51190616264276,-21.15713408861538,sub-096
2,loc,V1,right,19.625631284028742,-69.6931669705296,-13.256534825158425,sub-096
0,loc,V1,left,-14.325412606404313,-63.700825459926264,-9.491728697993153,sub-097
0,loc,V1,right,15.737503287620498,-67.12413010673596,-6.162302164914124,sub-097
1,loc,V1,left,-14.382391643391529,-63.12441649944636,-10.466195652320181,sub-097
1,loc,V1,right,16.01404723051853,-67.43418398969018,-6.0001691361869405,sub-097
2,loc,V1,left,-13.739700604047258,-64.05652335075733,-9.31301836085359,sub-097
2,loc,V1,right,15.428553321126245,-67.36555430870222,-5.206155349319815,sub-097
0,loc,V1,left,-29.12492555170933,-63.55449129824933,8.591872107474714,sub-107
0,loc,V1,right,8.401823064417059,-70.35171510895151,5.094279133884299,sub-107
1,loc,V1,left,-28.357906920572454,-63.11650246886265,9.103746406715445,sub-107
1,loc,V1,right,7.286953697325188,-70.06472703357582,5.2502902329425325,sub-107
2,loc,V1,left,-28.466417756998098,-63.00922908592868,8.554875249930504,sub-107
2,loc,V1,right,7.9721972419062865,-67.91941425367636,5.765597413340558,sub-107
