ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_pvalue,pIPS_pvalue_corrected,LO_pvalue,LO_pvalue_corrected,pIPS_LOO_Reliability,LO_LOO_Reliability,pIPS_Bootstrap_Significant_FDR,LO_Bootstrap_Significant_FDR,pIPS_LOO_Significant,LO_LOO_Significant,pIPS_Combined_Significant,LO_Combined_Significant,Both_Networks_Significant
109,7Networks_RH_Vis_9,0.146370444032881,-0.05645186769672566,0.0,0.0,0.0314,0.03900621118012422,1.0,0.8333333333333334,True,True,True,True,True,True,False
110,7Networks_RH_Vis_10,0.09764743989540471,0.011877272536771165,0.0,0.0,0.495,0.5265957446808511,1.0,0.4444444444444444,True,False,True,False,True,False,False
111,7Networks_RH_Vis_11,0.08900219139953454,0.12457231370111306,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True
112,7Networks_RH_Vis_12,0.12024860787722799,-0.038856021076854735,0.0,0.0,0.0322,0.039753086419753086,1.0,0.7222222222222222,True,True,True,False,True,False,False
113,7Networks_RH_Vis_13,0.1502409362130695,-0.04429200658988622,0.0,0.0,0.0022,0.0032835820895522386,1.0,0.7777777777777778,True,True,True,True,True,True,False
114,7Networks_RH_Vis_14,0.13033372329341042,-0.06633191369473934,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,True,True,True,True,True,True,False
115,7Networks_RH_Vis_15,0.1285924849410852,0.043233363203600876,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,True,True,True,True,True,True,True
116,7Networks_RH_SomMot_1,0.050001191389229566,0.021935586584731936,0.0,0.0,0.007,0.009655172413793104,1.0,0.6666666666666666,True,True,True,False,True,False,False
117,7Networks_RH_SomMot_2,0.05984453013580707,0.03523154204918279,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True,True,True,True,True,True,True
118,7Networks_RH_SomMot_3,0.04929992898056904,0.01397764095519152,0.0,0.0,0.0168,0.022105263157894735,1.0,0.7222222222222222,True,True,True,False,True,False,False
119,7Networks_RH_SomMot_4,0.06083121813005871,0.01916836359952059,0.0,0.0,0.006,0.008391608391608392,1.0,0.7222222222222222,True,True,True,False,True,False,False
120,7Networks_RH_SomMot_5,0.05969870866586765,0.007586465268913243,0.0,0.0,0.4172,0.4486021505376344,1.0,0.5555555555555556,True,False,True,False,True,False,False
121,7Networks_RH_SomMot_6,0.06007274447215928,0.01034782909684711,0.0,0.0,0.2984,0.3279120879120879,1.0,0.6111111111111112,True,False,True,False,True,False,False
122,7Networks_RH_SomMot_7,0.05334915862315231,0.03312942282193237,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,True,True,True,True,True,True,True
123,7Networks_RH_SomMot_8,0.053633018758975796,0.02976319099414266,0.0,0.0,0.0556,0.06579881656804734,1.0,0.6666666666666666,True,False,True,False,True,False,False
124,7Networks_RH_SomMot_9,0.06270981104009682,0.04740861407481134,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,True,True,True,True,True,True,True
125,7Networks_RH_SomMot_10,0.06323538989656502,0.04516517583073841,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,True,True,True,True,True,True,True
126,7Networks_RH_SomMot_11,0.05829724007182651,0.03844933804228074,0.0,0.0,0.0008,0.0012698412698412698,1.0,0.7222222222222222,True,True,True,False,True,False,False
127,7Networks_RH_SomMot_12,0.07963557458586162,0.04476845830989381,0.0,0.0,0.0004,0.0006557377049180328,1.0,0.7777777777777778,True,True,True,True,True,True,True
128,7Networks_RH_SomMot_13,0.10638914008935292,0.043024007567308016,0.0,0.0,0.0002,0.0003448275862068966,1.0,0.8333333333333334,True,True,True,True,True,True,True
129,7Networks_RH_SomMot_14,0.08105000522401598,0.03998906077403161,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,True,True,True,True,True,True,True
130,7Networks_RH_SomMot_15,0.09898314190407594,0.037753456013484135,0.0,0.0,0.0012,0.0018604651162790697,1.0,0.7777777777777778,True,True,True,True,True,True,True
131,7Networks_RH_SomMot_16,0.06239706764204635,0.025472421613004472,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,True,True,True,True,True,True,True
132,7Networks_RH_SomMot_17,0.07878712274962002,0.021393335501973827,0.0,0.0,0.0296,0.037,1.0,0.7222222222222222,True,True,True,False,True,False,False
133,7Networks_RH_SomMot_18,0.06988177251898581,0.037664642344073705,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True,True,True,True,True,True,True
134,7Networks_RH_SomMot_19,0.08114877343177795,0.03613969594395409,0.0,0.0,0.0,0.0,1.0,0.7777777777777778,True,True,True,True,True,True,True
135,7Networks_RH_DorsAttn_Post_1,0.05170801095664501,0.0991799874852101,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True
136,7Networks_RH_DorsAttn_Post_2,0.09193249729772408,0.07330557959438819,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,True,True,True,True,True,True,True
137,7Networks_RH_DorsAttn_Post_3,0.060779869452946715,0.03035903252182632,0.0,0.0,0.0072,0.009863013698630137,1.0,0.7222222222222222,True,True,True,False,True,False,False
138,7Networks_RH_DorsAttn_Post_4,0.0675363266426656,0.06416376850878198,0.0,0.0,0.0,0.0,0.9444444444444444,0.7222222222222222,True,True,True,False,True,False,False
139,7Networks_RH_DorsAttn_Post_5,0.076283593248162,0.06349396493492855,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True,True,True,True,True,True,True
140,7Networks_RH_DorsAttn_Post_6,0.11311432015564707,0.02718353241087041,0.0,0.0,0.0236,0.03006369426751592,1.0,0.7222222222222222,True,True,True,False,True,False,False
141,7Networks_RH_DorsAttn_Post_7,0.08730820938944817,0.12551146186888218,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True
142,7Networks_RH_DorsAttn_Post_8,0.126791356338395,0.0833225679428627,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,True,True,True,True,True,True,True
143,7Networks_RH_DorsAttn_Post_9,0.12519181643923125,0.010576740579886569,0.0,0.0,0.5028,0.5320634920634921,1.0,0.4444444444444444,True,False,True,False,True,False,False
144,7Networks_RH_DorsAttn_Post_10,0.1075932706395785,0.01816512242011312,0.0,0.0,0.0406,0.049212121212121214,1.0,0.6666666666666666,True,True,True,False,True,False,False
