ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Dorsal_Significant,Ventral_Significant,Significant_Both,Significant_Dorsal_Only,Significant_Ventral_Only,Significant_Neither
117,7Networks_RH_SomMot_2,0.05984453484416008,0.035231538116931915,True,True,True,False,False,False
118,7Networks_RH_SomMot_3,0.0,0.0,False,False,False,False,False,True
119,7Networks_RH_SomMot_4,0.0608312152326107,0.0,True,False,False,True,False,False
120,7Networks_RH_SomMot_5,0.0,0.0,False,False,False,False,False,True
121,7Networks_RH_SomMot_6,0.06007274612784386,0.0,True,False,False,True,False,False
122,7Networks_RH_SomMot_7,0.0,0.0,False,False,False,False,False,True
123,7Networks_RH_SomMot_8,0.0,0.0,False,False,False,False,False,True
124,7Networks_RH_SomMot_9,0.06270980834960938,0.047408610582351685,True,True,True,False,False,False
125,7Networks_RH_SomMot_10,0.06323539465665817,0.0,True,False,False,True,False,False
126,7Networks_RH_SomMot_11,0.05829724296927452,0.03844933584332466,True,True,True,False,False,False
127,7Networks_RH_SomMot_12,0.07963557541370392,0.0,True,False,False,True,False,False
128,7Networks_RH_SomMot_13,0.1063891351222992,0.04302400350570679,True,True,True,False,False,False
129,7Networks_RH_SomMot_14,0.08105000853538513,0.0,True,False,False,True,False,False
130,7Networks_RH_SomMot_15,0.09898313879966736,0.0,True,False,False,True,False,False
131,7Networks_RH_SomMot_16,0.0623970702290535,0.0,True,False,False,True,False,False
132,7Networks_RH_SomMot_17,0.07878711819648743,0.0,True,False,False,True,False,False
133,7Networks_RH_SomMot_18,0.06988176703453064,0.0,True,False,False,True,False,False
134,7Networks_RH_SomMot_19,0.08114877343177795,0.0,True,False,False,True,False,False
135,7Networks_RH_DorsAttn_Post_1,0.051708005368709564,0.09917999058961868,True,True,True,False,False,False
136,7Networks_RH_DorsAttn_Post_2,0.0919324979186058,0.07330557703971863,True,True,True,False,False,False
137,7Networks_RH_DorsAttn_Post_3,0.060779869556427,0.0,True,False,False,True,False,False
138,7Networks_RH_DorsAttn_Post_4,0.06753632426261902,0.06416376680135727,True,True,True,False,False,False
139,7Networks_RH_DorsAttn_Post_5,0.07628359645605087,0.06349397450685501,True,True,True,False,False,False
140,7Networks_RH_DorsAttn_Post_6,0.11311431974172592,0.027183527126908302,True,True,True,False,False,False
141,7Networks_RH_DorsAttn_Post_7,0.08730819821357727,0.12551145255565643,True,True,True,False,False,False
