ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_CI_Lower,pIPS_CI_Upper,LO_CI_Lower,LO_CI_Upper,pIPS_LOO_Reliability,LO_LOO_Reliability,pIPS_Bootstrap_Significant,LO_Bootstrap_Significant,pIPS_LOO_Significant,LO_LOO_Significant,pIPS_Combined_Significant,LO_Combined_Significant,Both_Networks_Significant
63,7Networks_LH_Cont_Par_3,0.06580022034338778,0.07509524305351079,0.04258865155797038,0.09050597191607165,0.04258842421113513,0.11397637364247606,0.9444444444444444,0.9444444444444444,True,True,True,True,True,True,True
64,7Networks_LH_Cont_Temp_1,0.042802550131455064,0.04064052370894286,0.031563774520246723,0.053915364945876516,0.02319165201107454,0.060353058797772974,1.0,0.8888888888888888,True,True,True,True,True,True,True
65,7Networks_LH_Cont_OFC_1,0.029651063804825146,0.01912385828068687,0.016211561759701,0.04616611054904449,0.005588005549765916,0.0346214101902054,0.8888888888888888,0.7222222222222222,True,True,True,False,True,False,False
66,7Networks_LH_Cont_PFCl_1,0.022080299522106845,0.013051895567009019,0.01157949640053428,0.03560995156812067,0.006779243918006413,0.01968383384098868,0.8333333333333334,0.7777777777777778,True,True,True,True,True,True,True
67,7Networks_LH_Cont_PFCl_2,0.03400553294664456,0.026973090134561062,0.013017743018119492,0.059687975462939975,0.017609033912109832,0.036875650527266164,0.8333333333333334,0.8888888888888888,True,True,True,True,True,True,True
68,7Networks_LH_Cont_PFCl_3,0.03827037432024048,0.026741780327736504,0.021985866882217427,0.058100832421849984,0.014437784101594136,0.03909103085493876,0.9444444444444444,0.7777777777777778,True,True,True,True,True,True,True
69,7Networks_LH_Cont_PFCl_4,0.04596164613030851,0.0642946008592844,0.030990735550747356,0.06200192175520996,0.04291057417350304,0.0853726983975826,0.9444444444444444,0.8888888888888888,True,True,True,True,True,True,True
70,7Networks_LH_Cont_PFCl_5,0.05459080124273896,0.08270949301206404,0.040436368492535416,0.06998075222622396,0.05764736049653341,0.11258640283873925,1.0,1.0,True,True,True,True,True,True,True
71,7Networks_LH_Cont_pCun_1,0.1426285362492005,-0.028107300374863878,0.10882778881738583,0.18232697856922944,-0.05384928108154175,-0.0016477988411982883,1.0,0.7222222222222222,True,True,True,False,True,False,False
72,7Networks_LH_Cont_Cing_1,0.06899957586493757,0.012820857072559496,0.046064923191443084,0.10219427435917572,-0.0006671093966967114,0.026560246873931537,1.0,0.5555555555555556,True,False,True,False,True,False,False
73,7Networks_LH_Cont_Cing_2,0.03108267191176613,0.03194737515877932,0.02224414364124338,0.04088126751464895,0.02012151688136833,0.045793292276923435,1.0,0.9444444444444444,True,True,True,True,True,True,True
74,7Networks_LH_Default_Temp_1,0.014289419380171845,0.021365882152976055,0.002132296036062245,0.030511342848573497,0.010456752071493408,0.03416419607819989,0.6666666666666666,0.7777777777777778,True,True,False,True,False,True,False
75,7Networks_LH_Default_Temp_2,0.01854671039068813,0.03299634933743315,0.011798581945428549,0.025162438592976993,0.018745302024358857,0.05235770436661873,0.8888888888888888,0.8888888888888888,True,True,True,True,True,True,True
76,7Networks_LH_Default_Temp_3,0.030093131095377937,0.03358372916570968,0.019595382224199258,0.04212338971168113,0.011343937938929433,0.06218382051318056,1.0,0.8333333333333334,True,True,True,True,True,True,True
77,7Networks_LH_Default_Temp_4,0.042640329288486906,0.046800882076948054,0.027807487594044587,0.05803280051849369,0.02360250435045196,0.07650821910356172,0.8888888888888888,0.8888888888888888,True,True,True,True,True,True,True
78,7Networks_LH_Default_Temp_5,0.04481721299493478,0.05975192443778118,0.028003590607679346,0.06308096655476321,0.03871577830998124,0.08242406589237766,0.9444444444444444,0.8333333333333334,True,True,True,True,True,True,True
79,7Networks_LH_Default_Par_1,0.09079295854705076,0.035795674866272345,0.06831236348823747,0.11717201475403272,0.011800635073127019,0.061597343710147676,1.0,0.7222222222222222,True,True,True,False,True,False,False
80,7Networks_LH_Default_Par_2,0.12177618510193294,0.006056070211343467,0.09486518954444262,0.15091725218420227,-0.014738393189165637,0.027025270428728414,1.0,0.5555555555555556,True,False,True,False,True,False,False
81,7Networks_LH_Default_Par_3,0.051815043138857514,0.01085033148734106,0.02694240146568821,0.08183797532433851,-0.003088847092456288,0.026326915774390926,0.8333333333333334,0.7222222222222222,True,False,True,False,True,False,False
82,7Networks_LH_Default_Par_4,0.07170719490386546,0.0027458864755721558,0.05046256756306522,0.09515268066315911,-0.014561342026313973,0.021855313359345804,0.9444444444444444,0.3888888888888889,True,False,True,False,True,False,False
83,7Networks_LH_Default_PFC_1,0.019056492135860026,0.02814404875971377,0.00907306984364469,0.030547659035073584,0.013860572129487993,0.047719778092707395,0.8888888888888888,0.8333333333333334,True,True,True,True,True,True,True
84,7Networks_LH_Default_PFC_2,0.032051623520803534,0.007422151742503047,0.018372992366009082,0.04965364428434339,-0.009213728885838969,0.02406165332003081,0.8888888888888888,0.6666666666666666,True,False,True,False,True,False,False
85,7Networks_LH_Default_PFC_3,0.019560938591085788,0.022140941944801144,0.007909451810862974,0.03380177035449176,0.015406784695935332,0.028682739722232016,0.7777777777777778,0.8888888888888888,True,True,True,True,True,True,True
86,7Networks_LH_Default_PFC_4,0.02666933477545778,0.009505108050588105,0.016249432349448194,0.03964966214391298,0.0034416262542233907,0.016018407676084378,0.9444444444444444,0.7777777777777778,True,True,True,True,True,True,True
87,7Networks_LH_Default_PFC_5,0.03411298105493188,0.02394864436549445,0.01547471758417992,0.06012975494894715,0.01496260245783358,0.03223737008714428,0.8888888888888888,0.8888888888888888,True,True,True,True,True,True,True
88,7Networks_LH_Default_PFC_6,0.027932764194297813,0.0020828808062813347,0.005145425439453296,0.05991365258297365,-0.009940121256578196,0.013776190753722193,0.6666666666666666,0.4444444444444444,True,False,False,False,False,False,False
89,7Networks_LH_Default_PFC_7,0.016522970606779888,0.018339091187549963,0.005138346197782084,0.027940692165995845,0.0022325092480362705,0.03728220044803391,0.6666666666666666,0.6666666666666666,True,True,False,False,False,False,False
90,7Networks_LH_Default_PFC_8,0.025790943841760356,0.0312663774109549,0.013995400534865136,0.03834820353012118,0.017676860357945166,0.04789863289721931,0.7777777777777778,0.8333333333333334,True,True,True,True,True,True,True
91,7Networks_LH_Default_PFC_9,0.027962644325776234,0.02235275341404809,0.012897481654848282,0.044755902922608774,0.0061340355314314365,0.040610940405167634,0.7222222222222222,0.7222222222222222,True,True,False,False,False,False,False
92,7Networks_LH_Default_PFC_10,0.04089374798867437,0.05482029195667969,0.025804364109515317,0.0567694417006957,0.03473187126477974,0.07771680708845247,0.8333333333333334,0.8888888888888888,True,True,True,True,True,True,True
93,7Networks_LH_Default_PFC_11,0.053264145377195544,0.03939488687966433,0.03818898401999225,0.06991174307186156,0.02406920159377882,0.056319220482449354,1.0,0.9444444444444444,True,True,True,True,True,True,True
94,7Networks_LH_Default_PFC_12,0.06361787147923476,0.011815234320238233,0.046923565768843725,0.08175990456301305,-0.003959615985190288,0.03154021643761856,1.0,0.5,True,False,True,False,True,False,False
