ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_CI_Lower,pIPS_CI_Upper,LO_CI_Lower,LO_CI_Upper,Dorsal_Significant,Ventral_Significant,Significant_Both,Significant_Dorsal_Only,Significant_Ventral_Only,Significant_Neither
83,7Networks_LH_Default_PFC_1,0.019056492135860026,0.02814404875971377,0.009133906574505898,0.030574845134591057,0.01382057724145448,0.04843146456017469,True,True,True,False,False,False
84,7Networks_LH_Default_PFC_2,0.032051623520803534,0.007422151742503047,0.01819519808357452,0.049345846430838315,-0.009117433526423864,0.024424246518820934,True,False,False,True,False,False
85,7Networks_LH_Default_PFC_3,0.019560938591085788,0.022140941944801144,0.008061885870120022,0.034077376570914766,0.015212575467820797,0.028651727420381374,True,True,True,False,False,False
86,7Networks_LH_Default_PFC_4,0.02666933477545778,0.009505108050588105,0.016409298249507424,0.039660981236698305,0.0034561561346183427,0.01586684070288255,True,True,True,False,False,False
87,7Networks_LH_Default_PFC_5,0.03411298105493188,0.02394864436549445,0.01545553353175314,0.06015402515315346,0.014915649914958825,0.032398433077226695,True,True,True,False,False,False
88,7Networks_LH_Default_PFC_6,0.027932764194297813,0.0020828808062813347,0.004828143637819773,0.06032561884106447,-0.01022158680668023,0.013753710001118524,True,False,False,True,False,False
89,7Networks_LH_Default_PFC_7,0.016522970606779888,0.018339091187549963,0.005263069643600223,0.028048103185978508,0.002255751753950285,0.037634447566233575,True,True,True,False,False,False
90,7Networks_LH_Default_PFC_8,0.025790943841760356,0.0312663774109549,0.013993908529583779,0.03821781346923671,0.017705677800242688,0.04850564297909538,True,True,True,False,False,False
91,7Networks_LH_Default_PFC_9,0.027962644325776234,0.02235275341404809,0.013344427075935528,0.04474185058562497,0.005999594955291185,0.04097281350210929,True,True,True,False,False,False
92,7Networks_LH_Default_PFC_10,0.04089374798867437,0.05482029195667969,0.025945511041209103,0.05673431896074261,0.03475232152915043,0.07822932658406595,True,True,True,False,False,False
