ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Y_Coordinate,Anatomical_Division
b'17Networks_LH_DorsAttnA_SPL_3',Wang_b'17Networks_LH_DorsAttnA_SPL_3',b'17Networks_LH_DorsAttnA_SPL_3',3.3944997129643655,35.38593041305721,7.5870783580401e-114,True,3.3944997129643655,0.005304827677777077,3.3944997129643655,3.337096897517992,3.484461286039312,-57,Post. Parietal/Temporal
b'17Networks_RH_DorsAttnA_SPL_2',Wang_b'17Networks_RH_DorsAttnA_SPL_2',b'17Networks_RH_DorsAttnA_SPL_2',6.0409463224465325,83.60044083128817,1.7338271019863138e-279,True,6.0409463224465325,0.0033764760245380276,6.0409463224465325,5.985113264722732,6.110112363803546,-53,Post. Parietal/Temporal
b'17Networks_RH_DorsAttnA_SPL_3',Wang_b'17Networks_RH_DorsAttnA_SPL_3',b'17Networks_RH_DorsAttnA_SPL_3',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-53,Post. Parietal/Temporal
b'17Networks_RH_DorsAttnA_SPL_4',Wang_b'17Networks_RH_DorsAttnA_SPL_4',b'17Networks_RH_DorsAttnA_SPL_4',1.766363941874677,29.84326927382545,1.2816679261843182e-134,True,1.766363941874677,0.002025372260866786,1.766363941874677,1.6782353316949925,1.8082928625383066,-53,Post. Parietal/Temporal
b'17Networks_RH_DorsAttnA_SPL_1',Wang_b'17Networks_RH_DorsAttnA_SPL_1',b'17Networks_RH_DorsAttnA_SPL_1',1.3652780067442087,28.152254323859257,2.9194179006230095e-122,True,1.365278006744209,0.001700836801483035,1.3652780067442087,1.2743999381444737,1.4022513309472122,-53,Post. Parietal/Temporal
b'17Networks_LH_DefaultA_pCunPCC_3',Wang_b'17Networks_LH_DefaultA_pCunPCC_3',b'17Networks_LH_DefaultA_pCunPCC_3',-0.007258196914939307,-1.7349623237474054,0.08327235248250953,False,-0.007258196914939307,0.00017267109681486334,-0.007258196914939307,-0.014474173638874025,-0.0024053255746449057,-42,Mid. Parietal/Temporal
b'17Networks_LH_DefaultA_pCunPCC_2',Wang_b'17Networks_LH_DefaultA_pCunPCC_2',b'17Networks_LH_DefaultA_pCunPCC_2',0.02841679422870041,2.8463215366673413,0.004635388246254413,True,0.028416794228700398,0.000482579911100845,0.02841679422870041,0.014304753878512657,0.034711595205709225,-42,Mid. Parietal/Temporal
b'17Networks_LH_DefaultA_pCunPCC_1',Wang_b'17Networks_LH_DefaultA_pCunPCC_1',b'17Networks_LH_DefaultA_pCunPCC_1',-0.5033224533651164,-12.730809180435427,1.5096597305838373e-33,True,-0.5033224533651164,0.0014932457495264555,-0.5033224533651164,-0.5830190076717569,-0.49475038399307275,-42,Mid. Parietal/Temporal
b'17Networks_RH_DefaultA_pCunPCC_1',Wang_b'17Networks_RH_DefaultA_pCunPCC_1',b'17Networks_RH_DefaultA_pCunPCC_1',0.001538331362730728,0.9999999999999994,0.3175725936413417,False,0.0015383313627307285,5.063479357336955e-05,0.001538331362730728,0.0,0.003076662725461456,-38,Mid. Parietal/Temporal
b'17Networks_LH_SomMotB_Aud_2',Wang_b'17Networks_LH_SomMotB_Aud_2',b'17Networks_LH_SomMotB_Aud_2',0.17744495505460758,9.306487686453245,1.2660396873819935e-19,True,0.17744495505460753,0.0006775092961296917,0.17744495505460758,0.14240520816802935,0.20058495181009625,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotA_4',Wang_b'17Networks_LH_SomMotA_4',b'17Networks_LH_SomMotA_4',-0.03212657785327183,-3.7809142768462127,0.0001714125235987988,True,-0.03212657785327182,0.00034180105447838505,-0.03212657785327183,-0.05496361738937727,-0.02736820986739405,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotA_2',Wang_b'17Networks_LH_SomMotA_2',b'17Networks_LH_SomMotA_2',-0.7435029485259324,-19.44202552673635,6.551994477044136e-61,True,-0.7435029485259324,0.0018420548212746332,-0.7435029485259324,-0.8171317085537358,-0.688744009603139,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotB_Aud_1',Wang_b'17Networks_LH_SomMotB_Aud_1',b'17Networks_LH_SomMotB_Aud_1',0.1743115690551797,8.079562854789183,3.663691843268649e-15,True,0.17431156905517967,0.000886701605746313,0.1743115690551797,0.16164689695141402,0.18504699037852662,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotB_S2_2',Wang_b'17Networks_LH_SomMotB_S2_2',b'17Networks_LH_SomMotB_S2_2',0.3547635918782106,14.359010101991334,8.676158394440786e-41,True,0.35476359187821066,0.0009713201583264162,0.3547635918782106,0.3017180411406765,0.3752143834744889,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotA_5',Wang_b'17Networks_LH_SomMotA_5',b'17Networks_LH_SomMotA_5',-0.0076103311179423995,-1.4160790779716796,0.15759818743669737,False,-0.0076103311179423995,0.0002801509743564296,-0.0076103311179423995,-0.026531449328089755,-0.0037702623640683197,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotA_1',Wang_b'17Networks_LH_SomMotA_1',b'17Networks_LH_SomMotA_1',1.1762990191494924,25.79217066633854,2.2762570102223438e-96,True,1.1762990191494922,0.001957176201363686,1.1762990191494924,1.1065717167878812,1.2198268144264106,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotB_S2_1',Wang_b'17Networks_LH_SomMotB_S2_1',b'17Networks_LH_SomMotB_S2_1',1.0815613449539847,25.10891556986708,2.801739046990055e-90,True,1.0815613449539847,0.001938026567777202,1.0815613449539847,1.0406407711398142,1.132806742451183,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotA_8',Wang_b'17Networks_LH_SomMotA_8',b'17Networks_LH_SomMotA_8',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotA_7',Wang_b'17Networks_LH_SomMotA_7',b'17Networks_LH_SomMotA_7',0.21321923576426505,12.732508600032341,1.0172552926845835e-34,True,0.21321923576426507,0.0005074560846978038,0.21321923576426505,0.18211388525774827,0.22233509285809555,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotA_6',Wang_b'17Networks_LH_SomMotA_6',b'17Networks_LH_SomMotA_6',0.0762072695988486,4.452214900906259,1.032435466645843e-05,True,0.0762072695988486,0.0007352256324820991,0.0762072695988486,0.05307440357759995,0.08511641646899512,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotA_3',Wang_b'17Networks_LH_SomMotA_3',b'17Networks_LH_SomMotA_3',-0.5125918857055963,-16.86674850247678,1.0548033776559578e-51,True,-0.5125918857055963,0.001299411465838629,-0.5125918857055963,-0.5642006188978003,-0.4935682702547789,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotB_Cent_1',Wang_b'17Networks_LH_SomMotB_Cent_1',b'17Networks_LH_SomMotB_Cent_1',-0.005113360185363348,-1.7337325770565797,0.08333028997751198,False,-0.005113360185363348,0.00010146024842339773,-0.005113360185363348,-0.00851835635920542,-0.0016594824565879485,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotB_S2_3',Wang_b'17Networks_LH_SomMotB_S2_3',b'17Networks_LH_SomMotB_S2_3',0.5547537398718987,14.66051157389549,5.5793906607709245e-39,True,0.5547537398718987,0.0019285049095330358,0.5547537398718987,0.5310424975947197,0.617786395499855,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotB_Aud_3',Wang_b'17Networks_LH_SomMotB_Aud_3',b'17Networks_LH_SomMotB_Aud_3',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-32,Mid. Parietal/Temporal
b'17Networks_LH_SomMotB_Cent_2',Wang_b'17Networks_LH_SomMotB_Cent_2',b'17Networks_LH_SomMotB_Cent_2',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-32,Mid. Parietal/Temporal
b'17Networks_RH_SomMotA_7',Wang_b'17Networks_RH_SomMotA_7',b'17Networks_RH_SomMotA_7',-0.11850887196103782,-4.990796591047734,1.056033161284871e-06,True,-0.11850887196103782,0.0014165367121606817,-0.11850887196103782,-0.15429433746266352,-0.10306554116764195,-28,Sensorimotor
b'17Networks_RH_SomMotA_8',Wang_b'17Networks_RH_SomMotA_8',b'17Networks_RH_SomMotA_8',0.1845315465289605,9.215624730848091,4.167579225047661e-19,True,0.1845315465289605,0.0007829913527590684,0.1845315465289605,0.15877051865338115,0.21189325167231293,-28,Sensorimotor
b'17Networks_RH_SomMotA_9',Wang_b'17Networks_RH_SomMotA_9',b'17Networks_RH_SomMotA_9',0.2149941997877713,6.036362920229703,3.7990899591488495e-09,True,0.21499419978777132,0.0018416860549921306,0.2149941997877713,0.17189601215439188,0.24964464549716053,-28,Sensorimotor
b'17Networks_RH_SomMotA_10',Wang_b'17Networks_RH_SomMotA_10',b'17Networks_RH_SomMotA_10',1.9303438456646465,91.80789875464552,0.0,True,1.9303438456646465,0.0007998629931991647,1.9303438456646465,1.8930669307661847,1.9572370833121275,-28,Sensorimotor
b'17Networks_RH_SomMotA_11',Wang_b'17Networks_RH_SomMotA_11',b'17Networks_RH_SomMotA_11',0.11344074035350708,3.883586426260523,0.00013219445057961293,True,0.11344074035350706,0.0018586071395127952,0.11344074035350708,0.07307916237209484,0.1308852830177963,-28,Sensorimotor
b'17Networks_RH_SomMotB_Aud_1',Wang_b'17Networks_RH_SomMotB_Aud_1',b'17Networks_RH_SomMotB_Aud_1',0.44053851338396194,12.19030832190355,1.0610078477146614e-30,True,0.44053851338396194,0.0014741170039709905,0.44053851338396194,0.3812320823955798,0.4654482013144673,-28,Sensorimotor
b'17Networks_RH_SomMotB_Aud_2',Wang_b'17Networks_RH_SomMotB_Aud_2',b'17Networks_RH_SomMotB_Aud_2',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-28,Sensorimotor
b'17Networks_RH_SomMotB_S2_1',Wang_b'17Networks_RH_SomMotB_S2_1',b'17Networks_RH_SomMotB_S2_1',0.08337191764778719,4.697174193043248,3.6885514488233823e-06,True,0.08337191764778719,0.0009093281524718981,0.08337191764778719,0.05140663511826656,0.11055339614009975,-28,Sensorimotor
b'17Networks_RH_SomMotA_5',Wang_b'17Networks_RH_SomMotA_5',b'17Networks_RH_SomMotA_5',-0.30514776782419906,-8.352920108806849,3.3155335634390953e-15,True,-0.30514776782419906,0.0022029544775502294,-0.30514776782419906,-0.3505170958070824,-0.2664347066060511,-28,Sensorimotor
b'17Networks_RH_SomMotA_3',Wang_b'17Networks_RH_SomMotA_3',b'17Networks_RH_SomMotA_3',1.7711178761357647,34.55138241026338,2.188880337652325e-130,True,1.7711178761357647,0.0023797045879035542,1.7711178761357647,1.6576069239372735,1.8225499219280796,-28,Sensorimotor
b'17Networks_RH_SomMotB_S2_2',Wang_b'17Networks_RH_SomMotB_S2_2',b'17Networks_RH_SomMotB_S2_2',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-28,Sensorimotor
b'17Networks_RH_SomMotA_2',Wang_b'17Networks_RH_SomMotA_2',b'17Networks_RH_SomMotA_2',0.011047510340113312,1.7363389707458237,0.08327772933702114,False,0.011047510340113312,0.0003189248558723447,0.011047510340113312,0.0,0.022144735072536753,-28,Sensorimotor
b'17Networks_RH_SomMotA_1',Wang_b'17Networks_RH_SomMotA_1',b'17Networks_RH_SomMotA_1',-0.0032386483351256375,-0.9999999999999999,0.3178305951449084,False,-0.003238648335125638,0.00015018872026866705,-0.0032386483351256375,-0.009715945005376914,0.0,-28,Sensorimotor
b'17Networks_RH_SomMotB_S2_3',Wang_b'17Networks_RH_SomMotB_S2_3',b'17Networks_RH_SomMotB_S2_3',0.005024866894074176,1.0,0.31818012295141396,False,0.005024866894074176,0.0003013714891488711,0.005024866894074176,0.0,0.005024866894074176,-28,Sensorimotor
b'17Networks_RH_SomMotB_S2_4',Wang_b'17Networks_RH_SomMotB_S2_4',b'17Networks_RH_SomMotB_S2_4',0.004913189954427463,0.9999999999999998,0.3181356414721689,False,0.004913189954427463,0.00028703162190545415,0.004913189954427463,0.0,0.004913189954427463,-28,Sensorimotor
b'17Networks_RH_SomMotB_Cent_1',Wang_b'17Networks_RH_SomMotB_Cent_1',b'17Networks_RH_SomMotB_Cent_1',0.0,,,False,0.0,0.0,0.0,0.0,0.0,-28,Sensorimotor
b'17Networks_RH_SomMotA_4',Wang_b'17Networks_RH_SomMotA_4',b'17Networks_RH_SomMotA_4',-0.36658009210159714,-10.857289934182322,6.5078853349696266e-24,True,-0.36658009210159714,0.0017894618400899115,-0.36658009210159714,-0.4003073098756154,-0.3242603596288834,-28,Sensorimotor
