ROI,Subject1,Subject2,Dice
pIPS,sub-038_right,sub-064_left,0.8331485943039308
pIPS,sub-038_right,sub-064_right,0.8370240459308899
pIPS,sub-038_right,sub-067_left,0.886926895622382
pIPS,sub-038_right,sub-067_right,0.8885936610362498
pIPS,sub-038_right,sub-068_left,0.8640746446556161
pIPS,sub-038_right,sub-068_right,0.8690899022716753
pIPS,sub-038_right,sub-071_left,0.867178372563629
pIPS,sub-038_right,sub-071_right,0.8724814584555572
pIPS,sub-038_right,sub-083_left,0.832377842394445
pIPS,sub-038_right,sub-083_right,0.8454983930097052
pIPS,sub-038_right,sub-084_left,0.8555110441067766
pIPS,sub-038_right,sub-084_right,0.8536822446729518
pIPS,sub-038_right,sub-085_left,0.8176814214843512
pIPS,sub-038_right,sub-085_right,0.8365611996113729
pIPS,sub-038_right,sub-087_left,0.8110466760961811
pIPS,sub-038_right,sub-087_right,0.7779518683972084
pIPS,sub-038_right,sub-088_left,0.8616469055030401
pIPS,sub-038_right,sub-088_right,0.8421561202958182
pIPS,sub-038_right,sub-093_left,0.8650067262155076
pIPS,sub-038_right,sub-093_right,0.8733649886453771
pIPS,sub-038_right,sub-094_left,0.8511729010053437
pIPS,sub-038_right,sub-094_right,0.8553730790386493
pIPS,sub-038_right,sub-095_left,0.8232707287800222
pIPS,sub-038_right,sub-095_right,0.8205220956170495
pIPS,sub-038_right,sub-096_left,0.8101328086571569
pIPS,sub-038_right,sub-096_right,0.8075685257774471
pIPS,sub-038_right,sub-097_left,0.8138050814508186
pIPS,sub-038_right,sub-097_right,0.8193467569824626
pIPS,sub-038_right,sub-107_left,0.8502364098009133
pIPS,sub-038_right,sub-107_right,0.8499589279061311
pIPS,sub-057_left,sub-059_left,0.8860909372824642
pIPS,sub-057_left,sub-059_right,0.8723719767525417
pIPS,sub-057_left,sub-064_left,0.853239426561691
pIPS,sub-057_left,sub-064_right,0.858219030791298
pIPS,sub-057_left,sub-067_left,0.9149457719048201
pIPS,sub-057_left,sub-067_right,0.9174199340281924
pIPS,sub-057_left,sub-068_left,0.8905698243734228
pIPS,sub-057_left,sub-068_right,0.8961655205022016
pIPS,sub-057_left,sub-071_left,0.8931451006024537
pIPS,sub-057_left,sub-071_right,0.8963191703825193
pIPS,sub-057_left,sub-083_left,0.8566212616864196
pIPS,sub-057_left,sub-083_right,0.8713179729187872
pIPS,sub-057_left,sub-084_left,0.8758704228190418
pIPS,sub-057_left,sub-084_right,0.873458482677535
pIPS,sub-057_left,sub-085_left,0.8331516061188086
pIPS,sub-057_left,sub-085_right,0.8563970883758317
pIPS,sub-057_left,sub-087_left,0.8241669956754474
pIPS,sub-057_left,sub-087_right,0.7884144972407029
pIPS,sub-057_left,sub-088_left,0.8894805780421292
pIPS,sub-057_left,sub-088_right,0.8698469728669858
pIPS,sub-057_left,sub-093_left,0.8928905067164901
pIPS,sub-057_left,sub-093_right,0.9001923170708435
pIPS,sub-057_left,sub-094_left,0.876956556284375
pIPS,sub-057_left,sub-094_right,0.8815388285868754
pIPS,sub-057_left,sub-095_left,0.8581198510326148
pIPS,sub-057_left,sub-095_right,0.8571357580740614
pIPS,sub-057_left,sub-096_left,0.8418893156135164
pIPS,sub-057_left,sub-096_right,0.8321081654784154
pIPS,sub-057_left,sub-097_left,0.8257021373093713
pIPS,sub-057_left,sub-097_right,0.8305207307042203
pIPS,sub-057_left,sub-107_left,0.8764848410629625
pIPS,sub-057_left,sub-107_right,0.873425089166539
pIPS,sub-057_right,sub-059_left,0.8901441245270408
pIPS,sub-057_right,sub-059_right,0.879072254441623
pIPS,sub-057_right,sub-064_left,0.8572607407144505
pIPS,sub-057_right,sub-064_right,0.8614086779072355
pIPS,sub-057_right,sub-067_left,0.9248814605296991
pIPS,sub-057_right,sub-067_right,0.9271898535115057
pIPS,sub-057_right,sub-068_left,0.8979045694464115
pIPS,sub-057_right,sub-068_right,0.9030932422165228
pIPS,sub-057_right,sub-071_left,0.8988289917529211
pIPS,sub-057_right,sub-071_right,0.9036070391194306
pIPS,sub-057_right,sub-083_left,0.8603120169157235
pIPS,sub-057_right,sub-083_right,0.8746950271354671
pIPS,sub-057_right,sub-084_left,0.8843881672781909
pIPS,sub-057_right,sub-084_right,0.8792985394233579
pIPS,sub-057_right,sub-085_left,0.8358248883447822
pIPS,sub-057_right,sub-085_right,0.8577826901394696
pIPS,sub-057_right,sub-087_left,0.830361623885609
pIPS,sub-057_right,sub-087_right,0.794492495637818
pIPS,sub-057_right,sub-088_left,0.8956820248754307
pIPS,sub-057_right,sub-088_right,0.8754353067238146
pIPS,sub-057_right,sub-093_left,0.8944996146036396
pIPS,sub-057_right,sub-093_right,0.9031267854469863
pIPS,sub-057_right,sub-094_left,0.881591764736856
pIPS,sub-057_right,sub-094_right,0.8845336193972204
pIPS,sub-057_right,sub-095_left,0.8557904135464853
pIPS,sub-057_right,sub-095_right,0.8564718983067591
pIPS,sub-057_right,sub-096_left,0.8415861974280353
pIPS,sub-057_right,sub-096_right,0.8343277216507611
pIPS,sub-057_right,sub-097_left,0.8322503431534961
pIPS,sub-057_right,sub-097_right,0.8364013691615233
pIPS,sub-057_right,sub-107_left,0.8807805353136576
pIPS,sub-057_right,sub-107_right,0.8787985573639263
pIPS,sub-059_left,sub-064_left,0.837992994963835
pIPS,sub-059_left,sub-064_right,0.8400682487695095
pIPS,sub-059_left,sub-067_left,0.8892788387822206
pIPS,sub-059_left,sub-067_right,0.8904850821398974
pIPS,sub-059_left,sub-068_left,0.8719070900360986
pIPS,sub-059_left,sub-068_right,0.8744469014522438
pIPS,sub-059_left,sub-071_left,0.8692684591570582
pIPS,sub-059_left,sub-071_right,0.8728024136314723
pIPS,sub-059_left,sub-083_left,0.839248944505549
pIPS,sub-059_left,sub-083_right,0.8510824930859973
pIPS,sub-059_left,sub-084_left,0.8532503851488414
pIPS,sub-059_left,sub-084_right,0.8500555383372885
pIPS,sub-059_left,sub-085_left,0.8188891061169593
pIPS,sub-059_left,sub-085_right,0.8381599714295589
pIPS,sub-059_left,sub-087_left,0.8088011815830463
pIPS,sub-059_left,sub-087_right,0.7709091797590832
pIPS,sub-059_left,sub-088_left,0.8659002135593595
pIPS,sub-059_left,sub-088_right,0.8466957366530354
pIPS,sub-059_left,sub-093_left,0.8691279327135901
pIPS,sub-059_left,sub-093_right,0.874256179932368
pIPS,sub-059_left,sub-094_left,0.8492397216144902
pIPS,sub-059_left,sub-094_right,0.8536190076339324
pIPS,sub-059_left,sub-095_left,0.8403163989235913
pIPS,sub-059_left,sub-095_right,0.8414271024485332
pIPS,sub-059_left,sub-096_left,0.8238190029752349
pIPS,sub-059_left,sub-096_right,0.8124700582746416
pIPS,sub-059_left,sub-097_left,0.8056469927188444
pIPS,sub-059_left,sub-097_right,0.8108013539015645
pIPS,sub-059_left,sub-107_left,0.8566738002403916
pIPS,sub-059_left,sub-107_right,0.8546523303961279
pIPS,sub-059_right,sub-064_left,0.8290803287067983
pIPS,sub-059_right,sub-064_right,0.8360355228036
