ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,p_value_corrected,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
86,7Networks_LH_Default_PFC_5,Default_PFC,-0.06885066631887914,-5.218118095355333,2.2782280118986128e-07,True,-0.06885066631887914,0.00045498412725860054,-0.06885066631887914,-0.09757594171028366,-0.04422316917674286,,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
190,7Networks_RH_Default_PFCdPFCm_1,Default_PFCdPFCm,-0.0198397130189084,-3.326903508703565,0.0009105034403835687,True,-0.019839713018908398,0.00018962562924493414,-0.0198397130189084,-0.03228884957069953,-0.00891465686549638,,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)"
194,7Networks_RH_Default_PFCdPFCm_5,Default_PFCdPFCm,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)"
195,7Networks_RH_Default_PFCdPFCm_6,Default_PFCdPFCm,-0.02184601866325882,-2.6598029285437392,0.008052663202293938,True,-0.02184601866325882,0.0003547647373668959,-0.02184601866325882,-0.03817124785166461,-0.00632366593753772,,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)"
196,7Networks_RH_Default_PFCdPFCm_7,Default_PFCdPFCm,-0.15572202915615568,-5.287913373565402,1.9042313572219524e-07,True,-0.1557220291561557,0.001362722046122733,-0.15572202915615568,-0.2163227807362241,-0.10427756541333816,,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)"
193,7Networks_RH_Default_PFCdPFCm_4,Default_PFCdPFCm,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)"
191,7Networks_RH_Default_PFCdPFCm_2,Default_PFCdPFCm,-0.025997004927395397,-3.0166107957832047,0.0026662723806500786,True,-0.025997004927395397,0.000354795440226735,-0.025997004927395397,-0.04292362100328168,-0.01143197608831553,,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)"
192,7Networks_RH_Default_PFCdPFCm_3,Default_PFCdPFCm,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)"
189,7Networks_RH_Default_PFCv_1,Default_PFCv,-0.228400255053319,-10.466397263343922,1.9120853874883375e-24,True,-0.228400255053319,0.0006760292859789371,-0.228400255053319,-0.2717624650583882,-0.18598802032011857,,Frontal,R,Default_PFCv,Frontal,"(0, 'Default_PFCv', 1)"
99,7Networks_LH_Default_PHC_1,Default_PHC,-0.6474325605228822,-8.916196499966079,4.265414501775653e-18,True,-0.6474325605228821,0.002762332049197149,-0.6474325605228822,-0.7925436507926293,-0.503912386649564,,Frontal,L,Default_PHC,Frontal,"(0, 'Default_PHC', 0)"
78,7Networks_LH_Default_Par_1,Default_Par,-0.12801817620511383,-6.068771127056804,2.412268046252579e-09,True,-0.12801817620511385,0.0009027646716619435,-0.12801817620511383,-0.16992532088344128,-0.08819918415935352,,Frontal,L,Default_Par,Frontal,"(0, 'Default_Par', 0)"
79,7Networks_LH_Default_Par_2,Default_Par,-0.010407842614139537,-1.0,0.3185890812784756,False,-0.010407842614139537,0.0007570591523885952,-0.010407842614139537,-0.03122352784241861,0.0,,Frontal,L,Default_Par,Frontal,"(0, 'Default_Par', 0)"
80,7Networks_LH_Default_Par_3,Default_Par,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,L,Default_Par,Frontal,"(0, 'Default_Par', 0)"
81,7Networks_LH_Default_Par_4,Default_Par,-0.034902024974352144,-4.384220832675969,1.2888201117844124e-05,True,-0.03490202497435214,0.0002533959254360761,-0.034902024974352144,-0.052166900156232675,-0.020203890706197356,,Frontal,L,Default_Par,Frontal,"(0, 'Default_Par', 0)"
183,7Networks_RH_Default_Par_3,Default_Par,-0.009702548716046035,-2.003683931791345,0.04549959253325222,True,-0.009702548716046035,0.00018555944316016833,-0.009702548716046035,-0.0195473851617484,-0.002356083015452481,,Frontal,R,Default_Par,Frontal,"(0, 'Default_Par', 1)"
182,7Networks_RH_Default_Par_2,Default_Par,-0.01885444406265693,-3.1785173295931175,0.0015335969481692492,True,-0.018854444062656937,0.00020298325500478918,-0.01885444406265693,-0.03024038558840281,-0.009324937400300302,,Frontal,R,Default_Par,Frontal,"(0, 'Default_Par', 1)"
181,7Networks_RH_Default_Par_1,Default_Par,-0.1935452065009536,-7.980961762381652,7.682824031862619e-15,True,-0.19354520650095364,0.0010017938970334043,-0.1935452065009536,-0.24017546524300887,-0.145512026290872,,Frontal,R,Default_Par,Frontal,"(0, 'Default_Par', 1)"
74,7Networks_LH_Default_Temp_2,Default_Temp,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,L,Default_Temp,Frontal,"(0, 'Default_Temp', 0)"
75,7Networks_LH_Default_Temp_3,Default_Temp,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,L,Default_Temp,Frontal,"(0, 'Default_Temp', 0)"
76,7Networks_LH_Default_Temp_4,Default_Temp,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,L,Default_Temp,Frontal,"(0, 'Default_Temp', 0)"
77,7Networks_LH_Default_Temp_5,Default_Temp,-0.16410814067893215,-8.063578683638966,2.677823210156718e-15,True,-0.16410814067893215,0.0007173058235326323,-0.16410814067893215,-0.2025808016393274,-0.12462664704474061,,Frontal,L,Default_Temp,Frontal,"(0, 'Default_Temp', 0)"
73,7Networks_LH_Default_Temp_1,Default_Temp,-0.003958982665602084,-1.7334488150236462,0.08326530954785329,False,-0.003958982665602084,6.496259163111222e-05,-0.003958982665602084,-0.009234483211511095,0.0,,Frontal,L,Default_Temp,Frontal,"(0, 'Default_Temp', 0)"
186,7Networks_RH_Default_Temp_3,Default_Temp,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,R,Default_Temp,Frontal,"(0, 'Default_Temp', 1)"
185,7Networks_RH_Default_Temp_2,Default_Temp,-0.013907573537029498,-2.4735797357258904,0.013522445495136091,True,-0.013907573537029498,0.0001670361593184953,-0.013907573537029498,-0.02585710396942677,-0.00450583355715521,,Frontal,R,Default_Temp,Frontal,"(0, 'Default_Temp', 1)"
184,7Networks_RH_Default_Temp_1,Default_Temp,-0.01759869408225673,-3.3296672324589878,0.0008994988072274814,True,-0.01759869408225673,0.0001624937928811684,-0.01759869408225673,-0.02764463122270912,-0.00797116005551224,,Frontal,R,Default_Temp,Frontal,"(0, 'Default_Temp', 1)"
188,7Networks_RH_Default_Temp_5,Default_Temp,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,R,Default_Temp,Frontal,"(0, 'Default_Temp', 1)"
187,7Networks_RH_Default_Temp_4,Default_Temp,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,R,Default_Temp,Frontal,"(0, 'Default_Temp', 1)"
95,7Networks_LH_Default_pCunPCC_1,Default_pCunPCC,-0.0030057075532946374,-1.0,0.3177600585130513,False,-0.0030057075532946374,0.00012958525416315194,-0.0030057075532946374,-0.009017122659883912,0.0,,Frontal,L,Default_pCunPCC,Frontal,"(0, 'Default_pCunPCC', 0)"
96,7Networks_LH_Default_pCunPCC_2,Default_pCunPCC,-0.033787268283065476,-3.5224955686670087,0.00045522485596456724,True,-0.03378726828306547,0.00036227938002653045,-0.033787268283065476,-0.05263007961048712,-0.016722859638464566,,Frontal,L,Default_pCunPCC,Frontal,"(0, 'Default_pCunPCC', 0)"
98,7Networks_LH_Default_pCunPCC_4,Default_pCunPCC,-0.03640965402228642,-2.6767839101734943,0.007642815917005838,True,-0.03640965402228642,0.0005638216480343052,-0.03640965402228642,-0.06265716449459974,-0.011929149208513713,,Frontal,L,Default_pCunPCC,Frontal,"(0, 'Default_pCunPCC', 0)"
97,7Networks_LH_Default_pCunPCC_3,Default_pCunPCC,-0.14044706179572577,-4.28632443832344,2.24620954843706e-05,True,-0.1404470617957258,0.0015838196731356921,-0.14044706179572577,-0.21293539107172557,-0.08153653046472209,,Frontal,L,Default_pCunPCC,Frontal,"(0, 'Default_pCunPCC', 0)"
197,7Networks_RH_Default_pCunPCC_1,Default_pCunPCC,0.0034943083781586795,1.0,0.3178112230547909,False,0.003494308378158678,0.00015899653655661121,0.0034943083781586795,0.0,0.010482925134476039,,Frontal,R,Default_pCunPCC,Frontal,"(0, 'Default_pCunPCC', 1)"
198,7Networks_RH_Default_pCunPCC_2,Default_pCunPCC,-0.062450376305501085,-4.1209556503145,4.11230565690734e-05,True,-0.06245037630550109,0.0004988112828652635,-0.062450376305501085,-0.0941919085859264,-0.03385044720445356,,Frontal,R,Default_pCunPCC,Frontal,"(0, 'Default_pCunPCC', 1)"
199,7Networks_RH_Default_pCunPCC_3,Default_pCunPCC,-0.0028066195753405332,-1.0,0.31773557707093647,False,-0.0028066195753405332,0.0001176596133164337,-0.0028066195753405332,-0.0084198587260216,0.0,,Frontal,R,Default_pCunPCC,Frontal,"(0, 'Default_pCunPCC', 1)"
54,7Networks_LH_Limbic_OFC_1,Limbic_OFC,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,L,Limbic_OFC,Frontal,"(0, 'Limbic_OFC', 0)"
55,7Networks_LH_Limbic_OFC_2,Limbic_OFC,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,L,Limbic_OFC,Frontal,"(0, 'Limbic_OFC', 0)"
160,7Networks_RH_Limbic_OFC_3,Limbic_OFC,-0.07007986540866244,-5.53862693068883,4.149548460612201e-08,True,-0.07007986540866246,0.00044960233207635405,-0.07007986540866244,-0.09702698395978226,-0.04642961475297807,,Frontal,R,Limbic_OFC,Frontal,"(0, 'Limbic_OFC', 1)"
159,7Networks_RH_Limbic_OFC_2,Limbic_OFC,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,R,Limbic_OFC,Frontal,"(0, 'Limbic_OFC', 1)"
158,7Networks_RH_Limbic_OFC_1,Limbic_OFC,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,R,Limbic_OFC,Frontal,"(0, 'Limbic_OFC', 1)"
57,7Networks_LH_Limbic_TempPole_2,Limbic_TempPole,-0.023191153116605585,-2.366856013503919,0.018125501507252645,True,-0.023191153116605582,0.0003064961734037347,-0.023191153116605585,-0.04230670144390139,-0.007079168443419214,,Frontal,L,Limbic_TempPole,Frontal,"(0, 'Limbic_TempPole', 0)"
59,7Networks_LH_Limbic_TempPole_4,Limbic_TempPole,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,L,Limbic_TempPole,Frontal,"(0, 'Limbic_TempPole', 0)"
58,7Networks_LH_Limbic_TempPole_3,Limbic_TempPole,-0.17020272516459112,-7.13675344833214,2.7276916195412394e-12,True,-0.17020272516459117,0.0009664005524612847,-0.17020272516459112,-0.21713137299466548,-0.1239069442247916,,Frontal,L,Limbic_TempPole,Frontal,"(0, 'Limbic_TempPole', 0)"
56,7Networks_LH_Limbic_TempPole_1,Limbic_TempPole,-0.026900173463341198,-3.760090191081294,0.00018095778533689077,True,-0.026900173463341198,0.00023994181397075478,-0.026900173463341198,-0.04151645854849271,-0.013292129309818341,,Frontal,L,Limbic_TempPole,Frontal,"(0, 'Limbic_TempPole', 0)"
161,7Networks_RH_Limbic_TempPole_1,Limbic_TempPole,-0.08589035313296835,-7.642187531887894,4.5043659817014386e-14,True,-0.08589035313296833,0.0003324325817730901,-0.08589035313296835,-0.10770998055168625,-0.06465754065406489,,Frontal,R,Limbic_TempPole,Frontal,"(0, 'Limbic_TempPole', 1)"
163,7Networks_RH_Limbic_TempPole_3,Limbic_TempPole,-0.016068127194483868,-2.2419319590386158,0.02536874630348721,True,-0.01606812719448387,0.0003075692532269921,-0.016068127194483868,-0.031681141823051664,-0.0031786632074470196,,Frontal,R,Limbic_TempPole,Frontal,"(0, 'Limbic_TempPole', 1)"
