ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key,Full_ID
157,7Networks_RH_SalVentAttn_Med_2,SalVentAttn_Med_2,0.13591705101417717,7.354275688487738,6.501545527978636e-13,True,0.13591705101417717,0.0007634581382662012,0.13591705101417717,0.10098919100032785,0.17423823458030946,Frontal,R,SalVentAttn_Med,Frontal,"(0, 'SalVentAttn_Med', 1)",SalVentAttn_Med_R
156,7Networks_RH_SalVentAttn_Med_1,SalVentAttn_Med_1,0.046488267822408294,4.141700217946512,3.852889185113108e-05,True,0.046488267822408294,0.0004165780600942371,0.046488267822408294,0.026057240769494797,0.06989130020630784,Frontal,R,SalVentAttn_Med,Frontal,"(0, 'SalVentAttn_Med', 1)",SalVentAttn_Med_R
51,7Networks_LH_SalVentAttn_PFCl_1,SalVentAttn_PFCl_1,0.003461754732255803,1.7326877639588225,0.08338670681995107,True,0.0034617547322558016,5.522124105111978e-05,0.003461754732255803,0.0,0.008084532764507973,Frontal,L,SalVentAttn_PFCl,Frontal,"(0, 'SalVentAttn_PFCl', 0)",SalVentAttn_PFCl_L
151,7Networks_RH_SalVentAttn_PrC_1,SalVentAttn_PrC_1,0.12068734820427807,5.23756603725048,2.612411634543851e-07,True,0.12068734820427805,0.001140780664558153,0.12068734820427807,0.07989552472763208,0.16980755119563792,Frontal,R,SalVentAttn_PrC,Frontal,"(0, 'SalVentAttn_PrC', 1)",SalVentAttn_PrC_R
15,7Networks_LH_SomMot_1,SomMot_1,0.002489870344528842,0.37895874615836567,0.7048543740478985,True,0.002489870344528842,0.00027003741654713255,0.002489870344528842,-0.010390596783121748,0.014878470466133657,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
16,7Networks_LH_SomMot_2,SomMot_2,-0.013055354248854262,-2.652283461664093,0.008154917703931949,True,-0.013055354248854264,0.00017490657379846494,-0.013055354248854262,-0.02417838963222213,-0.003788015776237305,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
17,7Networks_LH_SomMot_3,SomMot_3,-0.00883141411721017,-1.7345354624706202,0.0834468827392838,True,-0.008831414117210166,0.00022907811038535092,-0.00883141411721017,-0.020512638794671797,0.0,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
18,7Networks_LH_SomMot_4,SomMot_4,-0.09189547035134585,-6.321290501291694,4.833050960257707e-10,True,-0.09189547035134588,0.0005715262937201446,-0.09189547035134585,-0.1199703242595955,-0.06457119408604954,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
19,7Networks_LH_SomMot_5,SomMot_5,-0.07600996375236874,-4.4512084199992135,1.1198139884098701e-05,True,-0.07600996375236872,0.0008702864681334623,-0.07600996375236874,-0.10582109055688631,-0.04410282156087108,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
20,7Networks_LH_SomMot_6,SomMot_6,-0.036148301677276104,-4.507049394321418,7.499816143333804e-06,True,-0.036148301677276104,0.00027590986321048884,-0.036148301677276104,-0.052753208627950576,-0.021118645262271852,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
