ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
141,7Networks_RH_DorsAttn_Post_7,DorsAttn_Post_7,-0.13977626424726494,-4.655282329868522,4.097533908675615e-06,-0.13977626424726494,0.0013066836076886935,-0.13977626424726494,-0.20634557057059172,-0.082500792951875,Parietal,R,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 1)"
137,7Networks_RH_DorsAttn_Post_3,DorsAttn_Post_3,-0.013157787436446196,-1.7358054983969327,0.0834174485818203,-0.01315778743644619,0.00039091999444180396,-0.013157787436446196,-0.03028286477848209,0.0,Parietal,R,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 1)"
138,7Networks_RH_DorsAttn_Post_4,DorsAttn_Post_4,0.0,,,0.0,0.0,0.0,0.0,0.0,Parietal,R,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 1)"
139,7Networks_RH_DorsAttn_Post_5,DorsAttn_Post_5,-0.015291840174979768,-1.7219244208621372,0.08581424663883201,-0.015291840174979771,0.0004317928843810292,-0.015291840174979768,-0.03476685421979078,0.0,Parietal,R,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 1)"
136,7Networks_RH_DorsAttn_Post_2,DorsAttn_Post_2,0.013880594807362739,0.7581255211358012,0.44863734695672286,0.013880594807362744,0.0007005781822779157,0.013880594807362739,-0.020353413555169814,0.05047129899364559,Parietal,R,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 1)"
135,7Networks_RH_DorsAttn_Post_1,DorsAttn_Post_1,0.7841835249502219,7.036353367461596,3.9436569881541864e-12,0.7841835249502219,0.003739930996098401,0.7841835249502219,0.5820991590091892,1.0094993990567234,Parietal,R,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 1)"
140,7Networks_RH_DorsAttn_Post_6,DorsAttn_Post_6,0.19447661663433435,4.543312591483228,9.828370670698965e-06,0.19447661663433444,0.0031054030232134863,0.19447661663433435,0.11829206807415431,0.28191122285611875,Parietal,R,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 1)"
43,7Networks_LH_DorsAttn_PrCv_1,DorsAttn_PrCv_1,-0.2592780958322579,-6.839566191790759,2.872855606828159e-11,-0.25927809583225797,0.001865358222195916,-0.2592780958322579,-0.33723668348772684,-0.19131433483993554,Parietal,L,DorsAttn_PrCv,Parietal,"(2, 'DorsAttn_PrCv', 0)"
147,7Networks_RH_DorsAttn_PrCv_1,DorsAttn_PrCv_1,-0.17807482663225685,-6.679043285043275,4.4279622756190715e-11,-0.1780748266322568,0.0009299345071633648,-0.17807482663225685,-0.23198188689865726,-0.1272012918976926,Parietal,R,DorsAttn_PrCv,Parietal,"(2, 'DorsAttn_PrCv', 1)"
44,7Networks_LH_SalVentAttn_ParOper_1,SalVentAttn_ParOper_1,-0.5761837894015824,-11.296726948288986,7.278787527184151e-27,-0.5761837894015824,0.0021270342425060186,-0.5761837894015824,-0.6718859256117402,-0.47689095320711633,Parietal,L,SalVentAttn_ParOper,Parietal,"(2, 'SalVentAttn_ParOper', 0)"
45,7Networks_LH_SalVentAttn_ParOper_2,SalVentAttn_ParOper_2,-0.14524680397833875,-6.716463497680392,3.8788553062198845e-11,-0.14524680397833872,0.0008208923168143614,-0.14524680397833875,-0.18610625250210264,-0.10382262386607524,Parietal,L,SalVentAttn_ParOper,Parietal,"(2, 'SalVentAttn_ParOper', 0)"
46,7Networks_LH_SalVentAttn_ParOper_3,SalVentAttn_ParOper_3,-0.09200282332934169,-4.26822957695092,2.332358945489705e-05,-0.0920028233293417,0.0009336622065203927,-0.09200282332934169,-0.1326247093156154,-0.049581268154079275,Parietal,L,SalVentAttn_ParOper,Parietal,"(2, 'SalVentAttn_ParOper', 0)"
pIPS,Wang_pIPS,pIPS,-0.5266027557327322,-23.843068575534453,4.360844420213633e-121,-0.5266027557327321,0.00025775897110382395,-0.5266027557327322,-0.5704371668025845,-0.48184117993518905,Parietal,X,pIPS,Parietal,"(2, 'pIPS', 2)"
48,7Networks_LH_SalVentAttn_FrOperIns_2,SalVentAttn_FrOperIns_2,-0.7982306706833084,-11.226280903237855,4.638328129865036e-26,-0.7982306706833086,0.003286772006074021,-0.7982306706833084,-0.9306874603720232,-0.658702657253198,Insular,L,SalVentAttn_FrOperIns,Insular,"(3, 'SalVentAttn_FrOperIns', 0)"
47,7Networks_LH_SalVentAttn_FrOperIns_1,SalVentAttn_FrOperIns_1,-0.0022186507837965957,-1.0000000000000002,0.31765360701045925,-0.0022186507837965957,8.355922264220238e-05,-0.0022186507837965957,-0.008874603135186383,0.0,Insular,L,SalVentAttn_FrOperIns,Insular,"(3, 'SalVentAttn_FrOperIns', 0)"
50,7Networks_LH_SalVentAttn_FrOperIns_4,SalVentAttn_FrOperIns_4,-0.13513522976938075,-4.7855978875594625,2.2551890325778273e-06,-0.13513522976938075,0.0012704831395804511,-0.13513522976938075,-0.1910038016489134,-0.08198695010765983,Insular,L,SalVentAttn_FrOperIns,Insular,"(3, 'SalVentAttn_FrOperIns', 0)"
