ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
189,7Networks_RH_Default_Temp_5,Default_Temp_5,0.06729930148314553,3.4669996045652414,0.0005753991345510012,0.06729930148314552,0.0009021240666135936,0.06729930148314553,0.030116110856277738,0.1059445030861672,Temporal,R,Default_Temp,Temporal,"(1, 'Default_Temp', 1)"
185,7Networks_RH_Default_Temp_1,Default_Temp_1,0.009977975722199542,1.966734290536112,0.0494749007131998,0.009977975722199542,0.00015597461387006827,0.009977975722199542,9.409501163424345e-05,0.020115803904606336,Temporal,R,Default_Temp,Temporal,"(1, 'Default_Temp', 1)"
186,7Networks_RH_Default_Temp_2,Default_Temp_2,0.0025616406613089447,1.4144980645783145,0.15749046069852113,0.0025616406613089455,5.3802306689574016e-05,0.0025616406613089447,0.0,0.006432161951307862,Temporal,R,Default_Temp,Temporal,"(1, 'Default_Temp', 1)"
188,7Networks_RH_Default_Temp_4,Default_Temp_4,0.0834841053348086,5.109567600928492,4.6862417139545947e-07,0.0834841053348086,0.0007496746804340957,0.0834841053348086,0.05388882632140852,0.11731357165685453,Temporal,R,Default_Temp,Temporal,"(1, 'Default_Temp', 1)"
LO,Wang_LO,LO,4.86647899358402,92.18773823040438,0.0,4.86647899358402,0.0008103152372238044,4.86647899358402,4.760502461130186,4.967551900208413,Temporal,X,LO,Temporal,"(1, 'LO', 2)"
57,7Networks_LH_Limbic_TempPole_1,Limbic_TempPole_1,0.001266393766199361,0.23247016141913207,0.8162263664654867,0.001266393766199361,0.00018270509833818215,0.001266393766199361,-0.00876322727721562,0.013042236122347894,Temporal,L,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 0)"
59,7Networks_LH_Limbic_TempPole_3,Limbic_TempPole_3,-0.0535247486615718,-3.461160712437534,0.0005754966372912626,-0.0535247486615718,0.0006266488181255527,-0.0535247486615718,-0.08324671888099058,-0.022206796109447008,Temporal,L,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 0)"
60,7Networks_LH_Limbic_TempPole_4,Limbic_TempPole_4,0.033281899126411114,2.8470115558463274,0.004659950458435621,0.03328189912641112,0.0006085632000913567,0.033281899126411114,0.012207118286814207,0.05566835078585826,Temporal,L,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 0)"
58,7Networks_LH_Limbic_TempPole_2,Limbic_TempPole_2,0.03736202560027948,4.2251968639264055,2.600561121482957e-05,0.03736202560027948,0.0002766037202805354,0.03736202560027948,0.022069414044829226,0.05631262453101198,Temporal,L,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 0)"
163,7Networks_RH_Limbic_TempPole_2,Limbic_TempPole_2,0.0,,,0.0,0.0,0.0,0.0,0.0,Temporal,R,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 1)"
162,7Networks_RH_Limbic_TempPole_1,Limbic_TempPole_1,-0.038622778040755444,-4.886706755327388,1.1714490602389226e-06,-0.038622778040755444,0.00023377825614244398,-0.038622778040755444,-0.055291066614264785,-0.024319908749681204,Temporal,R,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 1)"
164,7Networks_RH_Limbic_TempPole_3,Limbic_TempPole_3,0.003129550459285258,0.9999999999999999,0.31775592091221505,0.003129550459285257,0.0001343018649687826,0.003129550459285258,0.0,0.012518201837141031,Temporal,R,Limbic_TempPole,Temporal,"(1, 'Limbic_TempPole', 1)"
149,7Networks_RH_SalVentAttn_TempOccPar_2,SalVentAttn_TempOccPar_2,-0.3180411436677841,-9.288449324497618,1.105017713205688e-18,-0.3180411436677841,0.0017316164854755591,-0.3180411436677841,-0.3843799562561275,-0.25164681802121863,Temporal,R,SalVentAttn_TempOccPar,Temporal,"(1, 'SalVentAttn_TempOccPar', 1)"
148,7Networks_RH_SalVentAttn_TempOccPar_1,SalVentAttn_TempOccPar_1,0.06580430860997377,2.498376628097446,0.0128418667853703,0.06580430860997377,0.0012585178124390672,0.06580430860997377,0.017692370565233866,0.12024800066715782,Temporal,R,SalVentAttn_TempOccPar,Temporal,"(1, 'SalVentAttn_TempOccPar', 1)"
150,7Networks_RH_SalVentAttn_TempOccPar_3,SalVentAttn_TempOccPar_3,-0.0829948079987749,-7.1235278745607395,2.0755304492406874e-12,-0.08299480799877487,0.0003778031182003024,-0.0829948079987749,-0.10727573013844775,-0.06261260950072292,Temporal,R,SalVentAttn_TempOccPar,Temporal,"(1, 'SalVentAttn_TempOccPar', 1)"
63,7Networks_LH_Cont_Par_3,Cont_Par_3,1.1565943498884723,17.119010249602006,1.896080358786198e-50,1.1565943498884723,0.0032619234757672636,1.1565943498884723,1.0240702229649838,1.2835076234360723,Parietal,L,Cont_Par,Parietal,"(2, 'Cont_Par', 0)"
61,7Networks_LH_Cont_Par_1,Cont_Par_1,0.10450336467739348,5.400966456125837,1.0713073813699756e-07,0.10450336467739348,0.0009080941274352296,0.10450336467739348,0.06937329219776286,0.14339916503028718,Parietal,L,Cont_Par,Parietal,"(2, 'Cont_Par', 0)"
62,7Networks_LH_Cont_Par_2,Cont_Par_2,0.7681251721404357,13.42621094540088,7.31422213173246e-34,0.7681251721404356,0.002946509571141309,0.7681251721404357,0.6539404826594876,0.8777057062028302,Parietal,L,Cont_Par,Parietal,"(2, 'Cont_Par', 0)"
165,7Networks_RH_Cont_Par_1,Cont_Par_1,-0.0033435050802327836,-0.9999999999999999,0.3178703010137714,-0.003343505080232784,0.00016086446317577324,-0.0033435050802327836,-0.010030515240698352,0.0,Parietal,R,Cont_Par,Parietal,"(2, 'Cont_Par', 1)"
167,7Networks_RH_Cont_Par_3,Cont_Par_3,0.25671142452244666,7.293582220306366,1.4889963280669061e-12,0.25671142452244666,0.0017073000322714942,0.25671142452244666,0.18437173268462234,0.3320575534850124,Parietal,R,Cont_Par,Parietal,"(2, 'Cont_Par', 1)"
166,7Networks_RH_Cont_Par_2,Cont_Par_2,0.10324688129712317,4.533846179832489,7.617744991531399e-06,0.10324688129712316,0.0011260262278987966,0.10324688129712317,0.05915521124739913,0.14933134632083764,Parietal,R,Cont_Par,Parietal,"(2, 'Cont_Par', 1)"
79,7Networks_LH_Default_Par_1,Default_Par_1,-0.01417272700088919,-1.9372303989262356,0.053232609928413534,-0.01417272700088919,0.0003130947785500966,-0.01417272700088919,-0.03099779579483094,-0.0004886192122991017,Parietal,L,Default_Par,Parietal,"(2, 'Default_Par', 0)"
80,7Networks_LH_Default_Par_2,Default_Par_2,0.0,,,0.0,0.0,0.0,0.0,0.0,Parietal,L,Default_Par,Parietal,"(2, 'Default_Par', 0)"
81,7Networks_LH_Default_Par_3,Default_Par_3,-0.0037837929648176123,-1.0000000000000007,0.31793054773171936,-0.003783792964817611,0.00019159980461825097,-0.0037837929648176123,-0.011351378894452837,0.0,Parietal,L,Default_Par,Parietal,"(2, 'Default_Par', 0)"
82,7Networks_LH_Default_Par_4,Default_Par_4,-0.0015818835740068528,-0.6086380266712574,0.5429044378529407,-0.001581883574006853,8.27288252245052e-05,-0.0015818835740068528,-0.007513329658062649,0.002917326620603338,Parietal,L,Default_Par,Parietal,"(2, 'Default_Par', 0)"
183,7Networks_RH_Default_Par_2,Default_Par_2,-0.03342713674854566,-4.136665237251822,3.8724272644963664e-05,-0.033427136748545645,0.00027651574538894086,-0.03342713674854566,-0.05065589725823709,-0.018969093195779076,Parietal,R,Default_Par,Parietal,"(2, 'Default_Par', 1)"
182,7Networks_RH_Default_Par_1,Default_Par_1,0.011738004463139403,0.9327682026509669,0.3513238149968979,0.011738004463139402,0.0005198424363257745,0.011738004463139403,-0.009937274319315386,0.039783588887941805,Parietal,R,Default_Par,Parietal,"(2, 'Default_Par', 1)"
184,7Networks_RH_Default_Par_3,Default_Par_3,0.0,,,0.0,0.0,0.0,0.0,0.0,Parietal,R,Default_Par,Parietal,"(2, 'Default_Par', 1)"
41,7Networks_LH_DorsAttn_FEF_1,DorsAttn_FEF_1,0.05586425514391599,3.9374267667092337,9.004065636583289e-05,0.05586425514391599,0.0005184186471336903,0.05586425514391599,0.030586849050064237,0.08492454709639513,Parietal,L,DorsAttn_FEF,Parietal,"(2, 'DorsAttn_FEF', 0)"
42,7Networks_LH_DorsAttn_FEF_2,DorsAttn_FEF_2,-0.09246372605251728,-5.613465429554507,3.065655455873822e-08,-0.09246372605251725,0.0006810239808770798,-0.09246372605251728,-0.12128121893188451,-0.06130681784901117,Parietal,L,DorsAttn_FEF,Parietal,"(2, 'DorsAttn_FEF', 0)"
145,7Networks_RH_DorsAttn_FEF_1,DorsAttn_FEF_1,0.08380701800123352,5.0160537387959305,7.321283983871582e-07,0.08380701800123352,0.0007442227455535992,0.08380701800123352,0.054125316575815346,0.1206166883716371,Parietal,R,DorsAttn_FEF,Parietal,"(2, 'DorsAttn_FEF', 1)"
146,7Networks_RH_DorsAttn_FEF_2,DorsAttn_FEF_2,0.03271448090792386,3.6252279983863724,0.00031195225444497534,0.03271448090792386,0.0003589600929363786,0.03271448090792386,0.017378697210550853,0.05088380494803818,Parietal,R,DorsAttn_FEF,Parietal,"(2, 'DorsAttn_FEF', 1)"
36,7Networks_LH_DorsAttn_Post_6,DorsAttn_Post_6,2.40240711073342,22.982410430218174,2.6851249384981127e-75,2.40240711073342,0.0052071310197236015,2.40240711073342,2.1995972365648733,2.6204132043684227,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
31,7Networks_LH_DorsAttn_Post_1,DorsAttn_Post_1,1.7316483920115069,23.238606341044026,1.795117164944124e-98,1.7316483920115069,0.0021822291845576126,1.7316483920115069,1.586813396397846,1.8764987563756224,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
32,7Networks_LH_DorsAttn_Post_2,DorsAttn_Post_2,2.284410178125853,15.37694116322788,1.6377445189680068e-42,2.2844101781258535,0.007310197458840861,2.284410178125853,1.9943019820182155,2.5767092166710386,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
33,7Networks_LH_DorsAttn_Post_3,DorsAttn_Post_3,1.7721499080692147,3.545750610587507,0.003228054500395989,1.772149908069215,0.13357594408115753,1.7721499080692147,0.8843894499003809,2.738096532065344,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
34,7Networks_LH_DorsAttn_Post_4,DorsAttn_Post_4,0.12054787268421528,5.942858071546716,5.107589124676313e-09,0.12054787268421527,0.0008852879248633995,0.12054787268421528,0.08044169528065076,0.16224781973771943,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
35,7Networks_LH_DorsAttn_Post_5,DorsAttn_Post_5,0.8465889277104718,11.391860651728102,2.765194576510653e-26,0.8465889277104718,0.0036836699868530833,0.8465889277104718,0.7085986400538943,0.9996311177237391,Parietal,L,DorsAttn_Post,Parietal,"(2, 'DorsAttn_Post', 0)"
