left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,left_hemi,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1,right_hemi
19140.613880581324,17502.79935118887,1235.2890042132801,2816.4583660761514,2150.2944942911467,1957.9920513033867,25584.608506944445,79497.54855007595,10431.458258734809,14080.36126030816,848.0400077766842,804.0301841100057,2807.0668436686196,1404.342233657837,18283.419191996258,69820.03803846572
13508.045913908216,20273.315086444218,1327.3635955320465,1985.1782556109958,2629.4871461656357,1810.8080510099728,28997.026258680555,75679.1158718533,8596.919040256076,9790.247083875867,919.5764199097952,1033.9557837380303,2047.847635216183,1752.3023677402073,16150.89768049452,64953.15617201063
16291.886937035455,18660.004117356406,1414.4125729269451,1558.1329460144043,2309.208161758052,1268.3030086027252,25849.083306206598,83505.18861897786,6838.731784396701,11280.200181749133,594.5189742379719,833.3711431291368,2102.0080647468567,2157.5363997353447,18012.0678753323,64428.806020100914
18316.961589813232,16174.634042607413,1303.6041230426895,2368.1794051064385,1888.1859689089988,1455.4046293430858,25352.609347873266,89130.01371934678,11108.593668619791,14053.419813368055,894.2607769568762,1049.4486644532944,2779.1450219684175,1305.58400132921,19231.346151563856,64168.459509955515
18408.4520011478,18389.354059908124,1333.9854231476784,2257.520386483934,2215.2527568207847,1805.7656430535847,26657.61998155382,79850.01390923394,11866.121303982205,11872.000718858508,1023.009432554245,1138.62479156918,1943.9262726042007,1847.3517239888508,17284.87836625841,63535.85907999674
15311.045111762152,20317.657166401546,1129.7594261103206,2227.235609796312,2081.358540515105,1692.3424120412933,31943.275851779516,88548.13834635417,11069.811143663195,12795.092414008246,904.3698572317759,704.6098108291626,2203.304885175493,1951.7840907838608,21925.874269273547,74059.26438395183
16167.407987382678,18255.841668897207,1164.5890425907241,1933.509076330397,2129.932527674569,2122.132891966237,27458.915500217016,73476.8395046658,10813.590026855469,12821.040710449219,947.7698424392277,775.2183260387844,1727.031057463752,1924.6001983218723,17555.407472398547,61626.749627007375
17188.354032304553,16042.300755871667,1244.1816138426464,1916.2646482255723,2259.330017493831,2314.842832810349,30485.396158854168,69108.8383585612,9649.306159125434,12928.235460069445,1248.464234325621,419.93678866492377,2929.4355472988555,1766.411311255561,16996.446113586426,73295.36529541016
17074.431179470484,16704.655451509687,1643.816634317239,1862.7982056935627,2579.637477344937,1193.7557889090644,28238.36537000868,79895.66449652778,11431.460917154947,12000.657450358072,994.3418971962399,661.7656592263115,2216.979977607727,1329.57679271698,19167.37486436632,73027.79365030925
17528.662896050348,18192.719807942707,1733.2039908303154,2776.628977245755,1687.2037726110882,1277.5702609022458,29706.434163411457,100039.98209635417,13952.69440375434,12968.515543619791,861.9373165501488,959.2496941884359,1660.5415593253242,2604.614599969652,17629.286282857258,60213.96436225044
