subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-spaceloc1003,LO,left,PFS,left,ToolLoc,ppi,0.003327599221640348
sub-spaceloc1003,LO,left,PFS,right,ToolLoc,ppi,-0.012501956803303838
sub-spaceloc1003,LO,left,aIPS,left,ToolLoc,ppi,0.003327599221640348
sub-spaceloc1003,LO,left,aIPS,right,ToolLoc,ppi,-0.012501956803303838
sub-spaceloc1003,LO,right,pIPS,left,ToolLoc,ppi,0.009481781393620431
sub-spaceloc1003,LO,right,pIPS,right,ToolLoc,ppi,-0.014158345435424585
sub-spaceloc1003,LO,right,LO,left,ToolLoc,ppi,0.009481781393620431
sub-spaceloc1003,LO,right,LO,right,ToolLoc,ppi,-0.014158345435424585
sub-spaceloc1003,LO,right,PFS,left,ToolLoc,ppi,0.009481781393620431
sub-spaceloc1003,LO,right,PFS,right,ToolLoc,ppi,-0.014158345435424585
sub-spaceloc1003,LO,right,aIPS,left,ToolLoc,ppi,0.009481781393620431
sub-spaceloc1003,LO,right,aIPS,right,ToolLoc,ppi,-0.014158345435424585
sub-spaceloc1003,PFS,left,pIPS,left,ToolLoc,ppi,-0.008896567957110944
sub-spaceloc1003,PFS,left,pIPS,right,ToolLoc,ppi,-0.00490889406752434
sub-spaceloc1003,PFS,left,LO,left,ToolLoc,ppi,-0.008896567957110944
sub-spaceloc1003,PFS,left,LO,right,ToolLoc,ppi,-0.00490889406752434
sub-spaceloc1003,PFS,left,PFS,left,ToolLoc,ppi,-0.008896567957110944
sub-spaceloc1003,PFS,left,PFS,right,ToolLoc,ppi,-0.00490889406752434
sub-spaceloc1003,PFS,left,aIPS,left,ToolLoc,ppi,-0.008896567957110944
sub-spaceloc1003,PFS,left,aIPS,right,ToolLoc,ppi,-0.00490889406752434
sub-spaceloc1003,PFS,right,pIPS,left,ToolLoc,ppi,-0.0029514080493494737
sub-spaceloc1003,PFS,right,pIPS,right,ToolLoc,ppi,-0.004822805729649686
sub-spaceloc1003,PFS,right,LO,left,ToolLoc,ppi,-0.0029514080493494737
sub-spaceloc1003,PFS,right,LO,right,ToolLoc,ppi,-0.004822805729649686
sub-spaceloc1003,PFS,right,PFS,left,ToolLoc,ppi,-0.0029514080493494737
sub-spaceloc1003,PFS,right,PFS,right,ToolLoc,ppi,-0.004822805729649686
sub-spaceloc1003,PFS,right,aIPS,left,ToolLoc,ppi,-0.0029514080493494737
sub-spaceloc1003,PFS,right,aIPS,right,ToolLoc,ppi,-0.004822805729649686
sub-spaceloc1003,aIPS,left,pIPS,left,ToolLoc,ppi,-0.010374103357733458
sub-spaceloc1003,aIPS,left,pIPS,right,ToolLoc,ppi,-0.013282100869062185
sub-spaceloc1003,aIPS,left,LO,left,ToolLoc,ppi,-0.010374103357733458
sub-spaceloc1003,aIPS,left,LO,right,ToolLoc,ppi,-0.013282100869062185
sub-spaceloc1003,aIPS,left,PFS,left,ToolLoc,ppi,-0.010374103357733458
sub-spaceloc1003,aIPS,left,PFS,right,ToolLoc,ppi,-0.013282100869062185
sub-spaceloc1003,aIPS,left,aIPS,left,ToolLoc,ppi,-0.010374103357733458
sub-spaceloc1003,aIPS,left,aIPS,right,ToolLoc,ppi,-0.013282100869062185
sub-spaceloc1003,aIPS,right,pIPS,left,ToolLoc,ppi,-0.00706356268273581
sub-spaceloc1003,aIPS,right,pIPS,right,ToolLoc,ppi,-0.01409490797282317
sub-spaceloc1003,aIPS,right,LO,left,ToolLoc,ppi,-0.00706356268273581
sub-spaceloc1003,aIPS,right,LO,right,ToolLoc,ppi,-0.01409490797282317
sub-spaceloc1003,aIPS,right,PFS,left,ToolLoc,ppi,-0.00706356268273581
sub-spaceloc1003,aIPS,right,PFS,right,ToolLoc,ppi,-0.01409490797282317
sub-spaceloc1003,aIPS,right,aIPS,left,ToolLoc,ppi,-0.00706356268273581
sub-spaceloc1003,aIPS,right,aIPS,right,ToolLoc,ppi,-0.01409490797282317
sub-spaceloc1004,pIPS,left,pIPS,left,ToolLoc,ppi,0.042439267888624704
sub-spaceloc1004,pIPS,left,pIPS,right,ToolLoc,ppi,0.06205640220175589
sub-spaceloc1004,pIPS,left,LO,left,ToolLoc,ppi,0.042439267888624704
sub-spaceloc1004,pIPS,left,LO,right,ToolLoc,ppi,0.06205640220175589
sub-spaceloc1004,pIPS,left,PFS,left,ToolLoc,ppi,0.042439267888624704
sub-spaceloc1004,pIPS,left,PFS,right,ToolLoc,ppi,0.06205640220175589
sub-spaceloc1004,pIPS,left,aIPS,left,ToolLoc,ppi,0.042439267888624704
sub-spaceloc1004,pIPS,left,aIPS,right,ToolLoc,ppi,0.06205640220175589
sub-spaceloc1004,pIPS,right,pIPS,left,ToolLoc,ppi,0.0008628173933728882
