ROI_ID,Mean_Difference,Std_Error,SNR,p_value,Direction_Consistency,ROI_Name,Top_10_Percent,Top_25_Percent
98,0.01726149,0.0031063457,5.556848,3.86738697523848e-05,1.0,7Networks_LH_Default_pCunPCC_3,False,False
99,0.034613114,0.006217462,5.567081,3.786579286956785e-05,1.0,7Networks_LH_Default_pCunPCC_4,False,False
100,0.018300103,0.00455295,4.0193944,0.0010212915417873029,1.0,7Networks_LH_Default_PHC_1,False,False
101,0.023640942,0.0055111884,4.289627,0.0005686882845775427,1.0,7Networks_RH_Vis_1,False,False
102,0.026428346,0.006939938,3.8081532,0.0016148052216621298,1.0,7Networks_RH_Vis_2,False,False
103,0.029530967,0.005802481,5.089369,0.00010265340438613033,1.0,7Networks_RH_Vis_3,False,False
104,0.05875765,0.008891764,6.6080985,4.711147319167832e-06,1.0,7Networks_RH_Vis_4,False,True
105,0.057405204,0.007713954,7.4417353,9.791538694136347e-07,1.0,7Networks_RH_Vis_5,True,True
106,0.030751511,0.0041704844,7.3736067,1.1095693878629508e-06,1.0,7Networks_RH_Vis_6,True,True
107,0.036409747,0.0064163716,5.674507,3.035812300926326e-05,1.0,7Networks_RH_Vis_7,False,False
108,0.05768346,0.0062142806,9.282404,4.158010159816932e-08,1.0,7Networks_RH_Vis_8,True,True
109,0.071366,0.010550172,6.764439,3.4851506717737324e-06,1.0,7Networks_RH_Vis_9,True,True
110,0.035160102,0.005386118,6.5279117,5.50542813897706e-06,1.0,7Networks_RH_Vis_10,False,True
111,0.040310644,0.0044961763,8.965539,6.956689806313259e-08,1.0,7Networks_RH_Vis_11,True,True
112,0.05747654,0.008131141,7.068693,1.9559852642994193e-06,1.0,7Networks_RH_Vis_12,True,True
113,0.07274321,0.011932857,6.0960426,1.2919258546344329e-05,1.0,7Networks_RH_Vis_13,False,True
114,0.061738573,0.006613042,9.33588,3.816435069906198e-08,1.0,7Networks_RH_Vis_14,True,True
115,0.05154518,0.01031147,4.99882,0.00012432017835972643,1.0,7Networks_RH_Vis_15,False,False
116,0.018407706,0.0033229194,5.5396185,4.007461062506793e-05,1.0,7Networks_RH_SomMot_1,False,False
117,0.018415136,0.0033134816,5.5576396,3.861074585402673e-05,1.0,7Networks_RH_SomMot_2,False,False
118,0.022479255,0.008186281,2.7459667,0.015524155854969532,1.0,7Networks_RH_SomMot_3,False,False
119,0.023091936,0.0072767185,3.1733997,0.006333079737269914,1.0,7Networks_RH_SomMot_4,False,False
120,0.02802522,0.0066574817,4.209583,0.0006762612378620816,1.0,7Networks_RH_SomMot_5,False,False
121,0.02607137,0.0065675657,3.9697158,0.0011374887008127792,1.0,7Networks_RH_SomMot_6,False,False
122,0.014491952,0.0022452537,6.454483,6.354224090367294e-06,1.0,7Networks_RH_SomMot_7,False,True
123,0.025425892,0.008066868,3.1518912,0.006629464581300289,1.0,7Networks_RH_SomMot_8,False,False
124,0.020405237,0.004890131,4.1727386,0.0007324433921872889,1.0,7Networks_RH_SomMot_9,False,False
125,0.020848926,0.0056650257,3.680288,0.0021302086159310863,1.0,7Networks_RH_SomMot_10,False,False
126,0.017731057,0.0032845582,5.3983083,5.3718070114703875e-05,1.0,7Networks_RH_SomMot_11,False,False
127,0.023513678,0.004217497,5.5752683,3.723168252017121e-05,1.0,7Networks_RH_SomMot_12,False,False
128,0.027263856,0.005367065,5.0798445,0.00010473849537644474,1.0,7Networks_RH_SomMot_13,False,False
129,0.02400104,0.0041933428,5.7236056,2.7453504927321288e-05,1.0,7Networks_RH_SomMot_14,False,True
130,0.028279305,0.0053117787,5.323886,6.27337315117599e-05,1.0,7Networks_RH_SomMot_15,False,False
