ROI_ID,Mean_Difference,Std_Error,Signal_to_Noise,p_value,Subject_to_Group_Correlation,Above_Lower_Bound,ROI_Name,Significant_Bonferroni,Significant
160,0.011634358,0.004875775372635777,2.322513231623864,0.03212786953211778,0.4460672413636195,False,7Networks_RH_Limbic_OFC_2,False,False
161,0.0083859805,0.0020522887671460925,3.9771762377850557,0.0008836280754638874,0.5490651483598509,False,7Networks_RH_Limbic_OFC_3,False,False
162,0.007979235,0.0024250794071851026,3.2025410710913484,0.004934845110579204,0.419781076770864,False,7Networks_RH_Limbic_TempPole_1,False,False
163,0.009075006,0.0022541186756566533,3.918587623600539,0.0010068377783000898,0.563088957024248,False,7Networks_RH_Limbic_TempPole_2,False,False
164,0.010547084,0.0038669892658312987,2.6547210896092674,0.01612713396453759,0.39192948941337435,False,7Networks_RH_Limbic_TempPole_3,False,False
165,0.020599367,0.0030659860639041334,6.539478992013274,3.805384701338475e-06,0.6224612689601552,False,7Networks_RH_Cont_Par_1,True,False
166,0.023075128,0.005825953245236743,3.8551081524186714,0.0011598341079339543,0.5602489202038238,False,7Networks_RH_Cont_Par_2,False,False
167,0.030002974,0.004481984086092997,6.5155853494195215,3.98956638238056e-06,0.5544551636435484,False,7Networks_RH_Cont_Par_3,True,False
168,0.018815769,0.004263119702622561,4.295897270257002,0.00043503642065666957,0.4675800027815919,False,7Networks_RH_Cont_Temp_1,False,False
169,0.010598307,0.0019741473036754354,5.225361907990942,5.7152377043925586e-05,0.44319316578146656,False,7Networks_RH_Cont_PFCv_1,True,False
170,0.0069020228,0.0015079314556713718,4.455067063707691,0.00030587710989417517,0.45784997214612205,False,7Networks_RH_Cont_PFCl_1,False,False
171,0.01765691,0.004893110467288711,3.512279815936671,0.0024879491700045848,0.4874667339026928,False,7Networks_RH_Cont_PFCl_2,False,False
172,0.015491798,0.0043609140449894414,3.457671533156684,0.0028085461937165765,0.5184796614278304,False,7Networks_RH_Cont_PFCl_3,False,False
173,0.020872153,0.003708486838270581,5.478100232491536,3.3386032603620035e-05,0.5009865572578028,False,7Networks_RH_Cont_PFCl_4,True,False
174,0.016030513,0.0035659728060555103,4.375511600568259,0.00036469682099739574,0.5254794090594116,False,7Networks_RH_Cont_PFCl_5,False,False
