ROI_ID,Mean_Difference,Std_Error,Signal_to_Noise,CI_Lower,CI_Upper,Direction_Consistency,p_value,Significant_Bonferroni,Above_Reliability_Threshold,Above_SNR_Threshold,ROI_Name,Significant
78,0.01600535,0.0029489219,5.427526,0.010591853712685407,0.02210200293920934,0.2631579,5.055162732918331e-05,True,True,True,7Networks_LH_Default_Temp_5,True
79,0.03153317,0.00663936,4.749429,0.019840053375810386,0.04562357729300857,0.36842105,0.00021140752248320432,True,True,True,7Networks_LH_Default_Par_1,True
80,0.050731145,0.0075147795,6.7508492,0.036591457296162845,0.06594622284173965,0.8947368,3.5772257690031273e-06,True,True,True,7Networks_LH_Default_Par_2,True
81,0.026875244,0.008176583,3.2868552,0.013201976683922112,0.044755748100578786,0.36842105,0.0049713360829841645,False,True,True,7Networks_LH_Default_Par_3,True
82,0.032225814,0.005281483,6.1016603,0.02267986675724387,0.04327764343470335,0.7894737,1.2774849248074916e-05,True,True,True,7Networks_LH_Default_Par_4,True
83,0.012141161,0.0020561612,5.904771,0.00857410584576428,0.01654571034014224,0.15789473,1.8987753933163902e-05,True,True,True,7Networks_LH_Default_PFC_1,True
84,0.015538853,0.0027594513,5.631139,0.010477689560502768,0.021212716447189445,0.57894737,3.318578568430745e-05,True,True,True,7Networks_LH_Default_PFC_2,True
85,0.010407211,0.003144367,3.3097954,0.005077637452632189,0.017168125836178657,0.15789473,0.004733108384969094,False,True,True,7Networks_LH_Default_PFC_3,True
86,0.010517625,0.0033340394,3.1546195,0.005043820745777339,0.017817369848489757,0.36842105,0.006591134948631769,False,True,True,7Networks_LH_Default_PFC_4,True
87,0.018630529,0.007341101,2.5378385,0.007887885882519185,0.03503980124369264,0.2631579,0.0237332933497484,False,True,True,7Networks_LH_Default_PFC_5,True
88,0.021831905,0.0076473765,2.8548229,0.010948452074080706,0.03884853012859821,0.2631579,0.01238951501212366,False,True,True,7Networks_LH_Default_PFC_6,True
89,0.012292404,0.0020417483,6.020529,0.008473580470308661,0.01642769118770957,0.2631579,1.5032638857588683e-05,True,True,True,7Networks_LH_Default_PFC_7,True
90,0.01184934,0.0021741162,5.450187,0.007998206326738,0.016481822030618775,0.15789473,4.822769277311975e-05,True,True,True,7Networks_LH_Default_PFC_8,True
91,0.015116864,0.0023199033,6.516161,0.010963125876151026,0.020010306779295207,0.47368422,5.632949316680403e-06,True,True,True,7Networks_LH_Default_PFC_9,True
92,0.018730469,0.0035434281,5.285974,0.012424791930243373,0.026193146174773575,0.05263158,6.790779206207607e-05,True,True,True,7Networks_LH_Default_PFC_10,True
93,0.015762655,0.0040059835,3.934778,0.008779554907232524,0.024335074797272677,0.2631579,0.0012270437298535337,False,True,True,7Networks_LH_Default_PFC_11,True
94,0.02634909,0.0042547183,6.1929107,0.018419062532484532,0.03499161368235946,0.8947368,1.0648175509092884e-05,True,True,True,7Networks_LH_Default_PFC_12,True
95,0.020022193,0.0067576696,2.9628842,0.00978701482526958,0.03511417098343372,0.05263158,0.009883795641301558,False,True,True,7Networks_LH_Default_PFC_13,True
96,0.054530088,0.00733164,7.4376383,0.04050335576757789,0.06897812597453594,1.0,9.865263384853698e-07,True,True,True,7Networks_LH_Default_pCunPCC_1,True
97,0.051479097,0.011575312,4.447318,0.033742059208452704,0.07726591136306524,1.0,0.00040452828394291245,False,True,True,7Networks_LH_Default_pCunPCC_2,True
98,0.01726149,0.0031063457,5.556848,0.011381305381655693,0.02353654215112328,0.68421054,3.867387818392334e-05,True,True,True,7Networks_LH_Default_pCunPCC_3,True
99,0.034613114,0.006217462,5.567081,0.023172499146312475,0.04755884241312742,1.0,3.7865854168943974e-05,True,True,True,7Networks_LH_Default_pCunPCC_4,True
100,0.018300103,0.00455295,4.0193944,0.010336637333966793,0.02798497127369046,0.47368422,0.001021290521832078,False,True,True,7Networks_LH_Default_PHC_1,True
101,0.023640942,0.0055111884,4.289627,0.013987807463854552,0.03542202524840832,0.57894737,0.0005686887829338428,False,True,True,7Networks_RH_Vis_1,True
102,0.026428346,0.006939938,3.8081532,0.014859882812015713,0.041500992979854344,0.15789473,0.0016148057480681686,False,True,True,7Networks_RH_Vis_2,True
103,0.029530967,0.005802481,5.089369,0.018505788361653685,0.0411736061796546,0.68421054,0.00010265346004975882,True,True,True,7Networks_RH_Vis_3,True
104,0.05875765,0.008891764,6.6080985,0.041678955964744094,0.07642105855047703,0.8947368,4.711151013024171e-06,True,True,True,7Networks_RH_Vis_4,True
105,0.057405204,0.007713954,7.4417353,0.042381789442151784,0.0724151886999607,1.0,9.791531969503791e-07,True,True,True,7Networks_RH_Vis_5,True
106,0.030751511,0.0041704844,7.3736067,0.022615431901067497,0.038878006581217046,0.15789473,1.1095658298952706e-06,True,True,True,7Networks_RH_Vis_6,True
107,0.036409747,0.0064163716,5.674507,0.024400638323277234,0.04939002497121691,0.68421054,3.035813053661773e-05,True,True,True,7Networks_RH_Vis_7,True
108,0.05768346,0.0062142806,9.282404,0.045545049384236334,0.06978461649268865,1.0,4.158013773660638e-08,True,True,True,7Networks_RH_Vis_8,True
109,0.071366,0.010550172,6.764439,0.05138948624953628,0.09263114053755998,0.8947368,3.485155239628118e-06,True,True,True,7Networks_RH_Vis_9,True
110,0.035160102,0.005386118,6.5279117,0.024970104871317744,0.04599251179024576,0.68421054,5.505422029155935e-06,True,True,True,7Networks_RH_Vis_10,True
111,0.040310644,0.0044961763,8.965539,0.03154400456696749,0.04915383970364928,0.47368422,6.956691726767641e-08,True,True,True,7Networks_RH_Vis_11,True
112,0.05747654,0.008131141,7.068693,0.041835316363722085,0.07371713239699597,0.7894737,1.9559914697636627e-06,True,True,True,7Networks_RH_Vis_12,True
113,0.07274321,0.011932857,6.0960426,0.050555341970175506,0.09714105594903229,0.8947368,1.2919246247882467e-05,True,True,True,7Networks_RH_Vis_13,True
114,0.061738573,0.006613042,9.33588,0.04890295723453164,0.07480002623051404,0.8947368,3.8164368439581607e-08,True,True,True,7Networks_RH_Vis_14,True
115,0.05154518,0.01031147,4.99882,0.032678522542119025,0.07287920750677586,0.57894737,0.00012432020999290095,True,True,True,7Networks_RH_Vis_15,True
116,0.018407706,0.0033229194,5.5396185,0.012493042810820042,0.025343983480706808,0.47368422,4.0074613292334055e-05,True,True,True,7Networks_RH_SomMot_1,True
117,0.018415136,0.0033134816,5.5576396,0.012317411252297461,0.025191773101687426,0.2631579,3.861068469682823e-05,True,True,True,7Networks_RH_SomMot_2,True
118,0.022479255,0.008186281,2.7459667,0.010487203486263752,0.04078732021152971,0.47368422,0.015524151283961493,False,True,True,7Networks_RH_SomMot_3,True
119,0.023091936,0.0072767185,3.1733997,0.01193977880757302,0.03937700232490894,0.57894737,0.006333078875104802,False,True,True,7Networks_RH_SomMot_4,True
120,0.02802522,0.0066574817,4.209583,0.01665026303380728,0.0423640314489603,0.68421054,0.0006762612313420721,False,True,True,7Networks_RH_SomMot_5,True
121,0.02607137,0.0065675657,3.9697158,0.015055154962465168,0.04033314930275081,0.68421054,0.001137487559955641,False,True,True,7Networks_RH_SomMot_6,True
122,0.014491952,0.0022452537,6.454483,0.01020674747414887,0.01897961269132793,0.47368422,6.354227963282018e-06,True,True,True,7Networks_RH_SomMot_7,True
123,0.025425892,0.008066868,3.1518912,0.013123440789058805,0.043461707886308425,0.7894737,0.006629462662809082,False,True,True,7Networks_RH_SomMot_8,True
124,0.020405237,0.004890131,4.1727386,0.011849647015333175,0.030905314953997717,0.36842105,0.0007324439765767413,False,True,True,7Networks_RH_SomMot_9,True
125,0.020848926,0.0056650257,3.680288,0.010862845182418824,0.03280782364308834,0.36842105,0.002130207125926109,False,True,True,7Networks_RH_SomMot_10,True
126,0.017731057,0.0032845582,5.3983083,0.011939489771611989,0.024691372551023955,0.57894737,5.371791554652391e-05,True,True,True,7Networks_RH_SomMot_11,True
127,0.023513678,0.004217497,5.5752683,0.015663895942270755,0.03212810894474387,0.47368422,3.7231695931270595e-05,True,True,True,7Networks_RH_SomMot_12,True
128,0.027263856,0.005367065,5.0798445,0.01783253736793995,0.03867826052010059,0.57894737,0.00010473846791111088,True,True,True,7Networks_RH_SomMot_13,True
129,0.02400104,0.0041933428,5.7236056,0.01635818905197084,0.032779479306191205,0.47368422,2.7453476438561515e-05,True,True,True,7Networks_RH_SomMot_14,True
130,0.028279305,0.0053117787,5.323886,0.018961212178692222,0.03968086987733841,0.7894737,6.273367487373275e-05,True,True,True,7Networks_RH_SomMot_15,True
131,0.019909712,0.004932083,4.036775,0.011445882101543247,0.03052384085021913,0.57894737,0.0009835082395033875,False,True,True,7Networks_RH_SomMot_16,True
132,0.024697164,0.004072619,6.064197,0.016923813708126546,0.03284107046201825,0.7894737,1.3770461859619177e-05,True,True,True,7Networks_RH_SomMot_17,True
133,0.020621719,0.004063064,5.0754104,0.013220095285214483,0.029048357577994465,0.47368422,0.00010572394166951537,True,True,True,7Networks_RH_SomMot_18,True
134,0.024072558,0.005001645,4.812928,0.01501635629683733,0.03446814538910985,0.57894737,0.00018459211304140913,True,True,True,7Networks_RH_SomMot_19,True
135,0.038801957,0.007168952,5.412501,0.02581414729356766,0.053735106904059644,0.68421054,5.2155397332127437e-05,True,True,True,7Networks_RH_DorsAttn_Post_1,True
136,0.019069081,0.0039766207,4.795298,0.012047223630361259,0.027512858575209975,0.2631579,0.0001916706793467172,True,True,True,7Networks_RH_DorsAttn_Post_2,True
137,0.017563619,0.0035803358,4.9055786,0.010931364982388914,0.02490455019287765,0.47368422,0.0001515300220166482,True,True,True,7Networks_RH_DorsAttn_Post_3,True
138,0.025149895,0.0057472866,4.37596,0.015172847197391093,0.03744218116626143,0.15789473,0.00047188160932560967,False,True,True,7Networks_RH_DorsAttn_Post_4,True
139,0.026760982,0.0077397716,3.4575932,0.014233470126055182,0.043769295979291196,0.2631579,0.0034457425563691863,False,True,True,7Networks_RH_DorsAttn_Post_5,True
140,0.0388349,0.006715583,5.782804,0.026216160226613282,0.052435041870921836,0.57894737,2.4327293624848037e-05,True,True,True,7Networks_RH_DorsAttn_Post_6,True
141,0.035924885,0.00732599,4.9037585,0.022583299735561013,0.051136752311140295,0.47368422,0.0001521179880732495,True,True,True,7Networks_RH_DorsAttn_Post_7,True
142,0.038954593,0.0059016407,6.600638,0.02751009501516819,0.05061342502012847,0.15789473,4.779767391142277e-06,True,True,True,7Networks_RH_DorsAttn_Post_8,True
143,0.04431821,0.006972173,6.3564415,0.031204694835469126,0.05846272502094507,0.7894737,7.703115649460195e-06,True,True,True,7Networks_RH_DorsAttn_Post_9,True
144,0.034810133,0.005465513,6.3690515,0.02438800851814449,0.04575158692896366,0.68421054,7.514238144621044e-06,True,True,True,7Networks_RH_DorsAttn_Post_10,True
145,0.021847805,0.0040249606,5.428079,0.014484193222597242,0.030120447510853406,0.15789473,5.049355521406222e-05,True,True,True,7Networks_RH_DorsAttn_FEF_1,True
146,0.027437123,0.00474541,5.7818236,0.018509525898844005,0.03698242492973804,0.47368422,2.437595276478902e-05,True,True,True,7Networks_RH_DorsAttn_FEF_2,True
147,0.018549716,0.004178518,4.4393053,0.011220439849421383,0.027454304322600355,0.2631579,0.00041157997987011926,False,True,True,7Networks_RH_DorsAttn_PrCv_1,True
148,0.020639276,0.0032659895,6.3194556,0.014613686688244342,0.027409000881016252,0.05263158,8.285959863193387e-06,True,True,True,7Networks_RH_SalVentAttn_TempOccPar_1,True
149,0.021415798,0.004807223,4.454921,0.013413438340649009,0.03192458553239702,0.36842105,0.00039795074713405216,False,True,True,7Networks_RH_SalVentAttn_TempOccPar_2,True
150,0.023082262,0.005107954,4.518886,0.014618722908198833,0.03423403995111585,0.47368422,0.0003467188774588669,False,True,True,7Networks_RH_SalVentAttn_TempOccPar_3,True
151,0.022759955,0.005328027,4.271742,0.013659357721917332,0.034185273572802544,0.2631579,0.0005911232663738229,False,True,True,7Networks_RH_SalVentAttn_PrC_1,True
152,0.013584662,0.004501958,3.0175009,0.006541641394142062,0.0235508931800723,0.15789473,0.008810977217088845,False,True,True,7Networks_RH_SalVentAttn_FrOperIns_1,True
153,0.01426098,0.0026507294,5.380021,0.009446520754136146,0.019786534691229457,0.36842105,5.5802571450570124e-05,True,True,True,7Networks_RH_SalVentAttn_FrOperIns_2,True
154,0.026720142,0.0067694252,3.9471803,0.01658325958997011,0.0418219276703894,0.2631579,0.0011944737034339336,False,True,True,7Networks_RH_SalVentAttn_FrOperIns_3,True
155,0.01937453,0.006088191,3.1823132,0.009327822225168349,0.032670476380735634,0.36842105,0.0062140783008128135,False,True,True,7Networks_RH_SalVentAttn_FrOperIns_4,True
156,0.017066812,0.005275167,3.2353122,0.008531939866952599,0.028644728101789953,0.15789473,0.005550233218166512,False,True,True,7Networks_RH_SalVentAttn_Med_1,True
157,0.035304125,0.007580155,4.657441,0.022247753990814093,0.0515607601031661,0.7894737,0.000257439271233385,False,True,True,7Networks_RH_SalVentAttn_Med_2,True
158,0.02444908,0.0057700435,4.2372437,0.015061150025576352,0.03711018562316892,0.15789473,0.0006369459238948189,False,True,True,7Networks_RH_SalVentAttn_Med_3,True
159,0.008220968,0.002243919,3.663665,0.004358797427266836,0.013011139165610074,0.05263158,0.002208242092820251,False,True,True,7Networks_RH_Limbic_OFC_1,True
160,0.011634358,0.004875775,2.3861556,0.004773160559125245,0.02250090944580734,0.15789473,0.0321278674768459,False,True,True,7Networks_RH_Limbic_OFC_2,True
161,0.0083859805,0.0020522887,4.08616,0.00516005587996915,0.01294158576056361,0.05263158,0.0008836282440402542,False,True,True,7Networks_RH_Limbic_OFC_3,True
162,0.007979235,0.0024250792,3.2902985,0.004035944759380072,0.01334458827041089,0.36842105,0.004934844693802913,False,True,True,7Networks_RH_Limbic_TempPole_1,True
163,0.0090750065,0.0022541184,4.025967,0.005529967660550028,0.01408043587580323,0.2631579,0.0010068378654826014,False,True,True,7Networks_RH_Limbic_TempPole_2,True
164,0.010547084,0.0038669892,2.7274666,0.0047439646674320105,0.019213082129135726,0.05263158,0.01612713176839964,False,True,True,7Networks_RH_Limbic_TempPole_3,True
165,0.020599365,0.0030659859,6.718676,0.014946465264074504,0.0269607042428106,0.57894737,3.8053855450270127e-06,True,True,True,7Networks_RH_Cont_Par_1,True
166,0.023075124,0.005825953,3.9607468,0.013798410212621093,0.03601303026080131,0.05263158,0.0011598337765752458,False,True,True,7Networks_RH_Cont_Par_2,True
167,0.03000297,0.004481984,6.694127,0.021475881477817895,0.03897860776633024,0.15789473,3.989565452967584e-06,True,True,True,7Networks_RH_Cont_Par_3,True
168,0.01881577,0.0042631193,4.4136157,0.011128232069313525,0.027629066817462432,0.36842105,0.0004350363103680332,False,True,True,7Networks_RH_Cont_Temp_1,True
169,0.010598307,0.0019741473,5.368549,0.006838796800002456,0.014544297056272621,0.05263158,5.715239192446185e-05,True,True,True,7Networks_RH_Cont_PFCv_1,True
