ROI_ID,ROI_Name,Difference,CI_Lower,CI_Upper,LOO_Reliability,Combined_Significant
138,7Networks_RH_DorsAttn_Post_4,-0.0019063205,-0.015729074412956835,0.011039710161276157,0.21052631578947367,False
139,7Networks_RH_DorsAttn_Post_5,0.0006269291,-0.016043582744896413,0.014636317593976853,0.2631578947368421,False
140,7Networks_RH_DorsAttn_Post_6,0.03677562,0.021713866386562586,0.05114274118095636,0.8947368421052632,True
141,7Networks_RH_DorsAttn_Post_7,-0.02057463,-0.03726852852851152,-0.004513438546564431,0.7368421052631579,False
142,7Networks_RH_DorsAttn_Post_8,0.010058746,-0.00789804186206311,0.026746834442019463,0.6842105263157895,False
143,7Networks_RH_DorsAttn_Post_9,0.039795846,0.025875867810100317,0.05261670304462314,0.8947368421052632,True
144,7Networks_RH_DorsAttn_Post_10,0.030854084,0.02197388499043882,0.039232018962502474,0.8947368421052632,True
145,7Networks_RH_DorsAttn_FEF_1,0.0073636025,-0.0007288012828212226,0.01542049418203532,0.631578947368421,False
146,7Networks_RH_DorsAttn_FEF_2,0.014610983,0.0033754209463950254,0.026416063960641622,0.7368421052631579,False
147,7Networks_RH_DorsAttn_PrCv_1,-0.0016514063,-0.011596751608885824,0.010266846069134769,0.5789473684210527,False
148,7Networks_RH_SalVentAttn_TempOccPar_1,0.0052832887,-0.006059174158144742,0.016922625526785848,0.631578947368421,False
149,7Networks_RH_SalVentAttn_TempOccPar_2,0.0076282695,-0.0046250277315266425,0.022570759803056718,0.631578947368421,False
150,7Networks_RH_SalVentAttn_TempOccPar_3,0.01497959,0.0038414721260778607,0.028475349536165595,0.5789473684210527,False
151,7Networks_RH_SalVentAttn_PrC_1,-0.0062014014,-0.018885834887623788,0.004704116075299678,0.5789473684210527,False
152,7Networks_RH_SalVentAttn_FrOperIns_1,-0.0012926012,-0.009848243789747357,0.005040242674294858,0.3684210526315789,False
153,7Networks_RH_SalVentAttn_FrOperIns_2,0.0071017407,0.0023580337641760708,0.011868019332177935,0.631578947368421,False
154,7Networks_RH_SalVentAttn_FrOperIns_3,-0.0043394826,-0.018237197864800693,0.01574843944981692,0.6842105263157895,False
155,7Networks_RH_SalVentAttn_FrOperIns_4,0.011639584,0.0004907881331746467,0.026872426923364397,0.6842105263157895,False
156,7Networks_RH_SalVentAttn_Med_1,-0.0013635159,-0.011308534257113933,0.006606038718018681,0.42105263157894735,False
157,7Networks_RH_SalVentAttn_Med_2,0.023374312,0.006806547602172941,0.0353354730643332,0.9473684210526315,True
158,7Networks_RH_SalVentAttn_Med_3,0.0038830861,-0.008277537580579518,0.01907449238933622,0.47368421052631576,False
159,7Networks_RH_Limbic_OFC_1,-0.0012136698,-0.0053643000661395485,0.0025612306606490162,0.42105263157894735,False
160,7Networks_RH_Limbic_OFC_2,-0.004304897,-0.013357685483060776,0.002251534425886348,0.5263157894736842,False
161,7Networks_RH_Limbic_OFC_3,0.0019735843,-0.002658216468989849,0.007635236531496048,0.42105263157894735,False
