ROI,Analysis,Condition,Subject1,Subject2,Dice
LO,fc,tools,sub-spaceloc1007,sub-spaceloc2018,0.7380719580527157
LO,fc,tools,sub-spaceloc1008,sub-spaceloc1009,0.7345506820664655
LO,fc,tools,sub-spaceloc1008,sub-spaceloc1010,0.8528333246295006
LO,fc,tools,sub-spaceloc1008,sub-spaceloc1011,0.7832668896060593
LO,fc,tools,sub-spaceloc1008,sub-spaceloc1012,0.8596584150638508
LO,fc,tools,sub-spaceloc1008,sub-spaceloc2013,0.8332553929353589
LO,fc,tools,sub-spaceloc1008,sub-spaceloc2014,0.8697623416244151
LO,fc,tools,sub-spaceloc1008,sub-spaceloc2015,0.8580276989821458
LO,fc,tools,sub-spaceloc1008,sub-spaceloc2016,0.841520981641496
LO,fc,tools,sub-spaceloc1008,sub-spaceloc2017,0.7745677412925407
LO,fc,tools,sub-spaceloc1008,sub-spaceloc2018,0.769008744449864
LO,fc,tools,sub-spaceloc1009,sub-spaceloc1010,0.7440598019760833
LO,fc,tools,sub-spaceloc1009,sub-spaceloc1011,0.6835443750193412
LO,fc,tools,sub-spaceloc1009,sub-spaceloc1012,0.7381271545924056
LO,fc,tools,sub-spaceloc1009,sub-spaceloc2013,0.760356828907497
LO,fc,tools,sub-spaceloc1009,sub-spaceloc2014,0.7375345576619273
LO,fc,tools,sub-spaceloc1009,sub-spaceloc2015,0.7379383850175101
LO,fc,tools,sub-spaceloc1009,sub-spaceloc2016,0.726898732503847
LO,fc,tools,sub-spaceloc1009,sub-spaceloc2017,0.7036087465495064
LO,fc,tools,sub-spaceloc1009,sub-spaceloc2018,0.6684739266715938
LO,fc,tools,sub-spaceloc1010,sub-spaceloc1011,0.7838101850160168
LO,fc,tools,sub-spaceloc1010,sub-spaceloc1012,0.8531292607159463
LO,fc,tools,sub-spaceloc1010,sub-spaceloc2013,0.8358538874149936
LO,fc,tools,sub-spaceloc1010,sub-spaceloc2014,0.8655485194473299
LO,fc,tools,sub-spaceloc1010,sub-spaceloc2015,0.8611062867118231
LO,fc,tools,sub-spaceloc1010,sub-spaceloc2016,0.8406820657693089
LO,fc,tools,sub-spaceloc1010,sub-spaceloc2017,0.7725024999314233
LO,fc,tools,sub-spaceloc1010,sub-spaceloc2018,0.7576081677231994
LO,fc,tools,sub-spaceloc1011,sub-spaceloc1012,0.7852887965048021
LO,fc,tools,sub-spaceloc1011,sub-spaceloc2013,0.7620087553477266
LO,fc,tools,sub-spaceloc1011,sub-spaceloc2014,0.7999609865752019
LO,fc,tools,sub-spaceloc1011,sub-spaceloc2015,0.7938249741992225
LO,fc,tools,sub-spaceloc1011,sub-spaceloc2016,0.7803788203414683
LO,fc,tools,sub-spaceloc1011,sub-spaceloc2017,0.7206043083350832
LO,fc,tools,sub-spaceloc1011,sub-spaceloc2018,0.7159891687328722
LO,fc,tools,sub-spaceloc1012,sub-spaceloc2013,0.8432554220398594
LO,fc,tools,sub-spaceloc1012,sub-spaceloc2014,0.8780895604501877
LO,fc,tools,sub-spaceloc1012,sub-spaceloc2015,0.8680064368848471
LO,fc,tools,sub-spaceloc1012,sub-spaceloc2016,0.8460869981729973
LO,fc,tools,sub-spaceloc1012,sub-spaceloc2017,0.7725045671431596
LO,fc,tools,sub-spaceloc1012,sub-spaceloc2018,0.7611994435059127
LO,fc,tools,sub-spaceloc2013,sub-spaceloc2014,0.846258919063717
LO,fc,tools,sub-spaceloc2013,sub-spaceloc2015,0.8486228017819495
LO,fc,tools,sub-spaceloc2013,sub-spaceloc2016,0.8144027758487972
LO,fc,tools,sub-spaceloc2013,sub-spaceloc2017,0.7570679614618414
LO,fc,tools,sub-spaceloc2013,sub-spaceloc2018,0.7331680826116471
LO,fc,tools,sub-spaceloc2014,sub-spaceloc2015,0.8851076888977926
LO,fc,tools,sub-spaceloc2014,sub-spaceloc2016,0.8579891836572648
LO,fc,tools,sub-spaceloc2014,sub-spaceloc2017,0.7735576203852994
LO,fc,tools,sub-spaceloc2014,sub-spaceloc2018,0.7684443752470148
LO,fc,tools,sub-spaceloc2015,sub-spaceloc2016,0.8419860375106256
LO,fc,tools,sub-spaceloc2015,sub-spaceloc2017,0.7686500010973817
LO,fc,tools,sub-spaceloc2015,sub-spaceloc2018,0.7581275758134958
LO,fc,tools,sub-spaceloc2016,sub-spaceloc2017,0.7620569561655164
LO,fc,tools,sub-spaceloc2016,sub-spaceloc2018,0.7684406450737472
LO,fc,tools,sub-spaceloc2017,sub-spaceloc2018,0.702408394496693
