ROI,Analysis,Condition,Subject1,Subject2,Dice
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc2015,0.7983745161103942
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc2016,0.7847327784717728
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc2017,0.7464812589655775
LO,fc,nontools,sub-spaceloc1002,sub-spaceloc2018,0.711808559290748
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc1004,0.7376825193862399
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc1005,0.8432240140626232
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc1006,0.8517764395678395
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc1007,0.8413824262304151
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc1008,0.8612565386281167
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc1009,0.7494499858970742
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc1010,0.8535322866462747
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc1011,0.7876790872537777
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc1012,0.8485491539007997
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc2013,0.8577817772778402
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc2014,0.8864769048964702
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc2015,0.8727163940087858
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc2016,0.8540604239128697
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc2017,0.8018434284700359
LO,fc,nontools,sub-spaceloc1003,sub-spaceloc2018,0.7680667546849864
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc1005,0.7202242454436457
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc1006,0.7243716864842008
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc1007,0.722945664375389
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc1008,0.7325852402158427
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc1009,0.6653583881020704
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc1010,0.7380457986926025
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc1011,0.6812626998152231
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc1012,0.7223514031910676
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc2013,0.7246117274167987
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc2014,0.7304816406288944
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc2015,0.7232331444125145
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc2016,0.7281334935600164
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc2017,0.6929593990015634
LO,fc,nontools,sub-spaceloc1004,sub-spaceloc2018,0.6774470767702779
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc1006,0.8202336384719248
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc1007,0.8113815483905483
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc1008,0.8358016315589165
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc1009,0.7285302123026673
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc1010,0.8202618965496735
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc1011,0.7573063497425503
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc1012,0.8119020071915162
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc2013,0.8296508734090209
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc2014,0.8430538870967016
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc2015,0.8384964202134678
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc2016,0.8107579650503391
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc2017,0.7732869575798752
LO,fc,nontools,sub-spaceloc1005,sub-spaceloc2018,0.7373939341252216
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc1007,0.8061119426463158
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc1008,0.8430974370386856
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc1009,0.7117433365713449
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc1010,0.8277464197415683
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc1011,0.759647307323209
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc1012,0.8205258538123578
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc2013,0.8275139161659946
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc2014,0.8572892261966537
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc2015,0.8473228357185355
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc2016,0.8200166183538388
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc2017,0.7741879425229143
LO,fc,nontools,sub-spaceloc1006,sub-spaceloc2018,0.7480512651310498
LO,fc,nontools,sub-spaceloc1007,sub-spaceloc1008,0.8260947198767016
LO,fc,nontools,sub-spaceloc1007,sub-spaceloc1009,0.7402210252349305
LO,fc,nontools,sub-spaceloc1007,sub-spaceloc1010,0.8290582934198271
LO,fc,nontools,sub-spaceloc1007,sub-spaceloc1011,0.7550303920845843
LO,fc,nontools,sub-spaceloc1007,sub-spaceloc1012,0.8203241850645865
LO,fc,nontools,sub-spaceloc1007,sub-spaceloc2013,0.8334255959181462
LO,fc,nontools,sub-spaceloc1007,sub-spaceloc2014,0.8364819681297176
LO,fc,nontools,sub-spaceloc1007,sub-spaceloc2015,0.8351449108630227
LO,fc,nontools,sub-spaceloc1007,sub-spaceloc2016,0.8096657940203787
LO,fc,nontools,sub-spaceloc1007,sub-spaceloc2017,0.7835048430723666
LO,fc,nontools,sub-spaceloc1007,sub-spaceloc2018,0.7353336717233295
LO,fc,nontools,sub-spaceloc1008,sub-spaceloc1009,0.7286770541137276
LO,fc,nontools,sub-spaceloc1008,sub-spaceloc1010,0.841757857599551
LO,fc,nontools,sub-spaceloc1008,sub-spaceloc1011,0.7722620278752008
LO,fc,nontools,sub-spaceloc1008,sub-spaceloc1012,0.8343213250767385
LO,fc,nontools,sub-spaceloc1008,sub-spaceloc2013,0.8410261346681427
LO,fc,nontools,sub-spaceloc1008,sub-spaceloc2014,0.866770241148413
LO,fc,nontools,sub-spaceloc1008,sub-spaceloc2015,0.8533878714024586
LO,fc,nontools,sub-spaceloc1008,sub-spaceloc2016,0.8351835043868836
LO,fc,nontools,sub-spaceloc1008,sub-spaceloc2017,0.7939667274852886
LO,fc,nontools,sub-spaceloc1008,sub-spaceloc2018,0.7620543849586047
LO,fc,nontools,sub-spaceloc1009,sub-spaceloc1010,0.7359318091309726
LO,fc,nontools,sub-spaceloc1009,sub-spaceloc1011,0.679434214893057
