ROI_ID,ROI_Name,Clean_Name,Mean_Difference,p_value,t_stat,Significant,Effect_Size,N_pairs,Lobe,Hemisphere
b'17Networks_LH_DefaultB_IPL_1',Wang_b'17Networks_LH_DefaultB_IPL_1',b'17Networks_LH_DefaultB_IPL_1',0.0,,,False,,391,Frontal,L
b'17Networks_LH_DefaultB_PFCd_4',Wang_b'17Networks_LH_DefaultB_PFCd_4',b'17Networks_LH_DefaultB_PFCd_4',0.0,,,False,,686,Frontal,L
b'17Networks_LH_SalVentAttnB_Ins_1',Wang_b'17Networks_LH_SalVentAttnB_Ins_1',b'17Networks_LH_SalVentAttnB_Ins_1',0.0,,,False,,469,Insular,L
b'17Networks_RH_DorsAttnA_SPL_2',Wang_b'17Networks_RH_DorsAttnA_SPL_2',b'17Networks_RH_DorsAttnA_SPL_2',-2.4581171259244794,4.645898975191794e-174,-46.07184626843361,True,-2.150449625469592,459,Temporal,R
b'17Networks_RH_DefaultA_IPL_1',Wang_b'17Networks_RH_DefaultA_IPL_1',b'17Networks_RH_DefaultA_IPL_1',0.0,,,False,,855,Frontal,R
b'17Networks_LH_ContA_PFCl_1',Wang_b'17Networks_LH_ContA_PFCl_1',b'17Networks_LH_ContA_PFCl_1',0.0082611054353596,0.3654763626069455,0.9054765754076375,False,0.031448501350105754,829,Frontal,L
b'17Networks_RH_VisCent_ExStr_3',Wang_b'17Networks_RH_VisCent_ExStr_3',b'17Networks_RH_VisCent_ExStr_3',-0.7606389703630508,6.822780604562717e-61,-17.61666379210611,True,-0.5497160842520407,1027,Occipital,R
b'17Networks_RH_LimbicB_OFC_3',Wang_b'17Networks_RH_LimbicB_OFC_3',b'17Networks_RH_LimbicB_OFC_3',0.0,,,False,,990,Frontal,R
b'17Networks_LH_ContC_Cingp_1',Wang_b'17Networks_LH_ContC_Cingp_1',b'17Networks_LH_ContC_Cingp_1',0.0,,,False,,208,Frontal,L
b'17Networks_LH_ContA_Cingm_1',Wang_b'17Networks_LH_ContA_Cingm_1',b'17Networks_LH_ContA_Cingm_1',-1.965678757806394,1.2519185802087737e-29,-13.956737120701813,True,-1.0898380699151773,164,Frontal,L
b'17Networks_RH_ContA_IPS_1',Wang_b'17Networks_RH_ContA_IPS_1',b'17Networks_RH_ContA_IPS_1',-0.052414707889406255,0.00026812715428553807,-3.6615999817887213,True,-0.13317110381901381,756,Frontal,R
b'17Networks_RH_VisCent_ExStr_1',Wang_b'17Networks_RH_VisCent_ExStr_1',b'17Networks_RH_VisCent_ExStr_1',-2.4044573945674412,3.5514373498733145e-298,-49.2254171618609,True,-1.371612624461897,1288,Occipital,R
